Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Falco cherrug	Saker falcon	sex: male	345164	F_cherrug_v1.0	GCA_000337975.1	GenBank		Scaffold	31327	1174811715	2013-02-05		PRJNA168071	SAMN02981426
Chelonia mydas	Green sea turtle		8469	CheMyd_1.0	GCA_000344595.1	GenBank	From INSDC submitter	Scaffold	29240	2208393880	2013-03-18	19273	PRJNA104937	SAMN02981410
Anas platyrhynchos	mallard	breed: Pekin duck, sex: female	8839	BGI_duck_1.0	GCA_000355885.1	GenBank	From INSDC submitter	Scaffold	26114	1105035747	2013-04-26	18146	PRJNA46621	SAMN00011637
Zonotrichia albicollis	white-throated sparrow	isolate: Tan morph, sex: male	44394	Zonotrichia_albicollis-1.0.1	GCA_000385455.1	GenBank		Scaffold	112748	1052600561	2013-04-30		PRJNA197293	SAMN02981528
Apalone spinifera	spiny softshell turtle	sex: male	55534	ASM38561v1	GCA_000385615.1	GenBank		Scaffold	4693	1931078847	2013-05-03		PRJNA177958	SAMN03004388
Ara macao	Scarlet macaw	sex: female	176014	SMACv1.0	GCA_000400545.1	GenBank		Contig	6366	1035921044	2013-05-20		PRJNA175470	SAMN02981465
Ara macao	Scarlet macaw	sex: female	176014	SMACv1.1	GCA_000400695.1	GenBank		Scaffold	4399	1204683257	2013-06-26		PRJNA189648	SAMN03000706
Alligator sinensis	Chinese alligator	sex: male	38654	ASM45574v1	GCA_000455745.1	GenBank		Scaffold	23412	2270550999	2013-08-29		PRJNA215016	SAMN02981559
Coturnix japonica	Japanese quail	strain: L	93934	Coja_2.0a	GCA_000511605.2	GenBank		Scaffold	32115	898141602	2016-06-29		PRJDB1146	SAMD00009971
Ophiophagus hannah	king cobra	sex: male	8665	OphHan1.0	GCA_000516915.1	GenBank	From INSDC submitter	Scaffold	5201	1594074654	2013-12-11	18579	PRJNA201683	SAMN02439592
Serinus canaria	Common canary		9135	SCA1	GCA_000534875.1	GenBank		Scaffold	53884	1152083301	2014-01-15		PRJEB1766	SAMEA3138919
Lyrurus tetrix tetrix			162951	tetTet1	GCA_000586395.1	GenBank		Contig	1029	657025294	2014-03-08		PRJNA179551	SAMN01814332
Colinus virginianus	northern bobwhite	sex: female, strain: Texas	9014	ASM59946v2	GCA_000599465.2	GenBank	From INSDC submitter	Scaffold	56067	1254146751	2017-07-13	17165	PRJNA188411	SAMN02981558
Colinus virginianus	northern bobwhite	sex: female, strain: Texas	9014	NB1.0	GCA_000599485.1	GenBank		Scaffold	6034	1042054936	2014-03-20		PRJNA188411	SAMN02981558
Egretta garzetta	little egret	isolate: BGI_Z169, sex: male	188379	ASM68718v1	GCA_000687185.1	GenBank	From INSDC submitter	Scaffold	29019	1206484573	2014-05-09	16538	PRJNA232959	SAMN02596466
Tyto alba	Barn owl	isolate: BGI_N341, sex: female	56313	ASM68720v1	GCA_000687205.1	GenBank	From INSDC submitter	Scaffold	17226	1120143088	2014-05-08	13081	PRJNA212909	SAMN02339894
Phoenicopterus ruber ruber		isolate: BGI_N337, sex: male	9218	ASM68726v1	GCA_000687265.1	GenBank	From INSDC submitter	Scaffold	20262	1132184511	2014-05-08	13722	PRJNA212904	SAMN02339890
Phaethon lepturus	White-tailed tropicbird	isolate: BGI_N335, sex: female	97097	ASM68728v1	GCA_000687285.1	GenBank	From INSDC submitter	Scaffold	22941	1152958507	2014-05-08	14565	PRJNA212902	SAMN02339888
Pelecanus crispus	Dalmatian pelican	isolate: BGI_N334, sex: male	36300	ASM68737v1	GCA_000687375.1	GenBank	From INSDC submitter	Scaffold	21679	1160924693	2014-05-09	14504	PRJNA212901	SAMN02339887
Cariama cristata	Red-legged seriema	isolate: BGI_N322, sex: male	54380	ASM69053v1	GCA_000690535.1	GenBank	From INSDC submitter	Scaffold	24645	1132245425	2014-05-12	13817	PRJNA212889	SAMN02318733
Colius striatus	speckled mousebird	isolate: BGI_N325, sex: male	57412	ASM69071v1	GCA_000690715.1	GenBank	From INSDC submitter	Scaffold	25860	1075931597	2014-05-13	12892	PRJNA212892	SAMN02324230
Eurypyga helias	sunbittern	isolate: BGI_N326, sex: female	54383	ASM69077v1	GCA_000690775.1	GenBank	From INSDC submitter	Scaffold	24402	1088019637	2014-05-13	13601	PRJNA212893	SAMN02324546
Fulmarus glacialis	Northern fulmar	isolate: BGI_N327, sex: male	30455	ASM69083v1	GCA_000690835.1	GenBank	From INSDC submitter	Scaffold	25926	1141395646	2014-05-13	13926	PRJNA212894	SAMN02324803
Gavia stellata	red-throated loon	isolate: BGI_N328, sex: male	37040	ASM69087v1	GCA_000690875.1	GenBank	From INSDC submitter	Scaffold	24321	1129677294	2014-05-13	13054	PRJNA212895	SAMN02324832
Haliaeetus albicilla	white-tailed eagle	isolate: BGI_N329, sex: male	8969	ASM69140v1	GCA_000691405.1	GenBank	From INSDC submitter	Scaffold	25143	1133549865	2014-05-15	13244	PRJNA212896	SAMN02333670
Leptosomus discolor	cuckoo roller	isolate: BGI_N330, sex: male	188344	ASM69178v1	GCA_000691785.1	GenBank	From INSDC submitter	Scaffold	24735	1136244952	2014-05-23	14611	PRJNA212897	SAMN02333687
Merops nubicus	carmine bee-eater	isolate: BGI_N331, sex: female	57421	ASM69184v1	GCA_000691845.1	GenBank	From INSDC submitter	Scaffold	24675	1062961556	2014-05-16	13121	PRJNA212898	SAMN02338310
Corvus brachyrhynchos	American crow	isolate: BGI_N302, sex: female	85066	ASM69197v1	GCA_000691975.1	GenBank	From INSDC submitter	Scaffold	29093	1091312783	2014-06-02	16474	PRJNA212869	SAMN02297499
Manacus vitellinus	golden-collared manakin	isolate: BGI_N305, sex: female	328815	ASM69201v2	GCA_000692015.2	GenBank	From INSDC submitter	Scaffold	43697	1145854002	2014-08-01	15235	PRJNA212872	SAMN02299332
Opisthocomus hoazin	hoatzin	isolate: BGI_N306, sex: female	30419	ASM69207v1	GCA_000692075.1	GenBank	From INSDC submitter	Scaffold	28179	1203712246	2014-05-19	15636	PRJNA212873	SAMN02302474
Chlamydotis macqueenii	Macqueen's bustard	isolate: BGI_N324, sex: male	187382	ASM69519v1	GCA_000695195.1	GenBank	From INSDC submitter	Scaffold	21641	1086566339	2014-06-02	13016	PRJNA212891	SAMN02324157
Mesitornis unicolor	brown roatelo	isolate: BGI_N332, sex: female	54374	ASM69576v1	GCA_000695765.1	GenBank	From INSDC submitter	Scaffold	22740	1087290853	2014-06-02	15023	PRJNA212899	SAMN02339298
Acanthisitta chloris	rifleman	isolate: BGI_N310, sex: female	57068	ASM69581v1	GCA_000695815.1	GenBank	From INSDC submitter	Scaffold	20602	1035876403	2014-05-27	14078	PRJNA212877	SAMN02318032
Aquila chrysaetos canadensis		sex: male	216574	AquilaChrysaetos1	GCA_000696035.1	GenBank		Scaffold	16346	1548476395	2014-05-30		PRJNA222866	SAMN02371870
Nestor notabilis	Kea	isolate: BGI_N333, sex: male	176057	ASM69687v1	GCA_000696875.1	GenBank	From INSDC submitter	Scaffold	26546	1053559886	2014-06-05	13700	PRJNA212900	SAMN02339299
Struthio camelus australis		isolate: BGI_N308, sex: female	441894	ASM69896v1	GCA_000698965.1	GenBank	From INSDC submitter	Scaffold	34997	1225025301	2014-06-06	16164	PRJNA212875	SAMN02316164
Dryobates pubescens	Downy woodpecker	isolate: BGI_N307, sex: female	118200	ASM69900v1	GCA_000699005.1	GenBank	From INSDC submitter	Scaffold	24809	1167323935	2014-06-06	15523	PRJNA212874	SAMN02314405
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	ASM69908v1	GCA_000699085.1	GenBank	From INSDC submitter	Scaffold	26738	1105676412	2014-06-06	15944	PRJNA212866	SAMN02265252
Pygoscelis adeliae	Adelie penguin	isolate: BGI_AS28, sex: male	9238	ASM69910v1	GCA_000699105.1	GenBank	From INSDC submitter	Scaffold	22195	1216600033	2014-06-06	15185	PRJNA235983	SAMN02596601
Aptenodytes forsteri	emperor penguin	isolate: BGI_AS27, sex: male	9233	ASM69914v1	GCA_000699145.1	GenBank	From INSDC submitter	Scaffold	31730	1254347440	2014-06-06	15990	PRJNA235982	SAMN02596600
Pterocles gutturalis	yellow-throated sandgrouse	isolate: BGI_N339, sex: male	240206	ASM69924v1	GCA_000699245.1	GenBank	From INSDC submitter	Scaffold	26448	1069324295	2014-06-09	13231	PRJNA212906	SAMN02339892
Podiceps cristatus	great crested grebe	isolate: BGI_N338, sex: male	345573	ASM69954v1	GCA_000699545.1	GenBank	From INSDC submitter	Scaffold	17412	1134922578	2014-06-11	13553	PRJNA212905	SAMN02339891
Cathartes aura	turkey vulture	isolate: BGI_N323, sex: female	43455	ASM69994v1	GCA_000699945.1	GenBank	From INSDC submitter	Scaffold	15248	1152571117	2014-06-11	13116	PRJNA212890	SAMN02319050
Antrostomus carolinensis	chuck-will's-widow	isolate: BGI_N321, sex: male	279965	ASM70074v1	GCA_000700745.1	GenBank	From INSDC submitter	Scaffold	22156	1119683066	2014-06-10	14360	PRJNA212888	SAMN02318612
Apaloderma vittatum	bar-tailed trogon	isolate: BGI_N311, sex: male	57397	ASM70340v1	GCA_000703405.1	GenBank	From INSDC submitter	Scaffold	28882	1070836417	2014-06-16	13200	PRJNA212878	SAMN02318033
Tinamus guttatus	white-throated tinamou	isolate: BGI_N309, sex: female	94827	ASM70537v2	GCA_000705375.2	GenBank	From INSDC submitter	Scaffold	29773	1047056493	2014-08-05	15722	PRJNA212876	SAMN02316659
Charadrius vociferus	killdeer	isolate: BGI_N301, sex: female	50402	ASM70802v2	GCA_000708025.2	GenBank	From INSDC submitter	Scaffold	39278	1219859583	2014-08-05	16810	PRJNA212867	SAMN02296710
Nipponia nippon	crested ibis	isolate: BGI_Y956, sex: male	128390	ASM70822v1	GCA_000708225.1	GenBank	From INSDC submitter	Scaffold	29116	1223846297	2014-06-16	16697	PRJNA232572	SAMN02596464
Phalacrocorax carbo	great cormorant	isolate: BGI_N336, sex: male	9209	ASM70892v1	GCA_000708925.1	GenBank	From INSDC submitter	Scaffold	17343	1138967842	2014-06-17	12975	PRJNA212903	SAMN02339889
Cuculus canorus	common cuckoo	isolate: BGI_N303, sex: male	55661	ASM70932v1	GCA_000709325.1	GenBank	From INSDC submitter	Scaffold	38137	1153894225	2014-06-17	15829	PRJNA212870	SAMN02298149
Tauraco erythrolophus	red-crested turaco	isolate: BGI_N340, sex: male	121530	ASM70936v1	GCA_000709365.1	GenBank	From INSDC submitter	Scaffold	22885	1155540733	2014-06-25	14943	PRJNA212908	SAMN02339893
Balearica regulorum gibbericeps	East African grey crowned-crane	isolate: BGI_N312, sex: male	100784	ASM70989v1	GCA_000709895.1	GenBank	From INSDC submitter	Scaffold	23333	1127605500	2014-06-25	13794	PRJNA212879	SAMN02318095
Buceros rhinoceros silvestris		isolate: BGI_N320, sex: male	175836	ASM71030v1	GCA_000710305.1	GenBank	From INSDC submitter	Scaffold	14587	1065782791	2014-06-25	13337	PRJNA212887	SAMN02318191
Crotalus pyrrhus		sex: female	384069	CrotMitch1.0	GCA_000737285.1	GenBank		Scaffold	4103	1126791715	2014-08-01		PRJNA255393	SAMN02918464
Haliaeetus leucocephalus	bald eagle	isolate: CR32, sex: male	52644	Haliaeetus_leucocephalus-4.0	GCA_000737465.1	GenBank		Scaffold	105493	1178409481	2014-08-04		PRJNA237821	SAMN02664716
Corvus cornix cornix		isolate: S_Up_H32, sex: male	932674	ASM73873v5	GCA_000738735.5	GenBank		Chromosome	8553235	1030864775	2021-02-04		PRJNA192205	SAMN02143031
Chaetura pelagica	chimney swift	isolate: M959, sex: female	8897	ChaPel_1.0	GCA_000747805.1	GenBank	From INSDC submitter	Scaffold	30757	1119188094	2014-09-04	15321	PRJNA210808	SAMN03018471
Aquila chrysaetos canadensis		isolate: GSEH35GE, sex: male	216574	Aquila_chrysaetos-1.0.2	GCA_000766835.1	GenBank		Scaffold	172329	1192725744	2014-10-14		PRJNA256103	SAMN03079786
Crocodylus porosus	Australian saltwater crocodile	isolate: Cpor-Errol, sex: male	8502	Cpor_3.0	GCA_000768395.2	GenBank		Scaffold	32925	2125619597	2020-02-05		PRJNA163131	SAMN03102602
Gavialis gangeticus	Gharial	isolate: Ggan-Ray, sex: female	94835	ggan_v0.2	GCA_000775435.1	GenBank		Scaffold	14195	2188353730	2014-11-14		PRJNA172383	SAMN03102901
Vipera berus berus	common viper	isolate: VBER.BE-female, sex: female	31156	Vber.be_1.0	GCA_000800605.1	GenBank		Scaffold	11725	1532390814	2014-12-10		PRJNA170536	SAMN02780930
Anser cygnoides domesticus		breed: Zhedong, sex: male	381198	AnsCyg_PRJNA183603_v1.0	GCA_000971095.1	GenBank		Scaffold	27608	1119134887	2015-04-08		PRJNA183603	SAMN01830643
Apteryx mantelli mantelli			202946	AptMant0	GCA_001039765.2	GenBank		Contig	16159	1595278775	2015-06-23		PRJEB6383	SAMEA2560515
Thamnophis sirtalis		isolate: EDBJR-23777, sex: female	35019	Thamnophis_sirtalis-6.0	GCA_001077635.2	GenBank		Scaffold	10447	1424897867	2015-06-26		PRJNA189551	SAMN03759628
Pantherophis guttatus		isolate: EG266, sex: male	94885	UNIGE_PanGut_3.0	GCA_001185365.2	GenBank		Scaffold	37981	1706961544	2020-04-13		PRJNA268069	SAMN12106767
Zosterops lateralis melanops			1220523	ASM128173v1	GCA_001281735.1	GenBank		Scaffold	34514	1036003386	2015-09-14		PRJNA277310	SAMN03389315
Amazona aestiva	blue-fronted amazon	isolate: FVVF132	12930	ASM142067v1	GCA_001420675.1	GenBank	From INSDC submitter	Scaffold	26171	1129535839	2015-10-30	16315	PRJNA294082	SAMN04014659
Calidris pugnax	ruff	isolate: Ruff	198806	ASM143184v1	GCA_001431845.1	GenBank		Scaffold	109237	1229094286	2015-11-04		PRJNA281024	SAMN03491621
Sturnus vulgaris	Common starling	isolate: 715, sex: male	9172	Sturnus_vulgaris-1.0	GCA_001447265.1	GenBank		Scaffold	151865	1036755994	2015-11-20		PRJNA293892	SAMN04029017
Gekko japonicus		isolate: JY-2015, sex: male	146911	Gekko_japonicus_V1.1	GCA_001447785.1	GenBank		Scaffold	29575	2490257917	2015-11-25		PRJNA298277	SAMN04157958
Calidris pugnax	ruff		198806	ruff_EG1	GCA_001458055.1	GenBank		Scaffold	65145	1173203933	2015-11-06		PRJEB11427	SAMEA3535133
Parus major	Great Tit	isolate: Abel, sex: male	9157	Parus_major1.1	GCA_001522545.3	GenBank		Chromosome	148693	1020293992	2019-01-15		PRJNA208335	SAMN03083587
Protobothrops mucrosquamatus	Chinese habu	isolate: PMUCROS	103944	P.Mucros_1.0	GCA_001527695.3	GenBank		Scaffold	21948	1673859098	2016-01-22		PRJDB4386	SAMD00043515
Alligator mississippiensis	American alligator	isolate: KSC_2009_1	8496	Algmis_Hirise_1.0	GCA_001541155.1	GenBank		Scaffold	16665	2161708281	2016-01-26		PRJNA305630	SAMN02981418
Alligator mississippiensis	American alligator	isolate: KSC_2009_1	8496	Algmis_1.0	GCA_001541185.1	GenBank		Scaffold	16660	2156978045	2016-01-26		PRJNA301461	SAMN02981418
Coturnix japonica	Japanese quail	isolate: 7356, sex: male	93934	Coturnix japonica 2.1	GCA_001577835.2	GenBank		Chromosome	511217	927640260	2016-03-01		PRJNA292031	SAMN03989050
Lepidothrix coronata	blue-crowned manakin	isolate: B3197, sex: male	321398	Lepidothrix_coronata-1.0	GCA_001604755.1	GenBank		Scaffold	141849	1079577334	2016-03-31		PRJNA300662	SAMN04274560
Crotalus horridus	timber rattlesnake	isolate: 016-059-111, sex: female	35024	ASM162548v1	GCA_001625485.1	GenBank		Scaffold	5835	1520321693	2016-04-21		PRJNA181087	SAMN01815951
Phylloscopus trochiloides viridanus		isolate: TL2	144762	GWvir1.0	GCA_001655095.1	GenBank		Scaffold	11055	1003330590	2016-06-02		PRJNA238808	SAMN02646017
Phylloscopus plumbeitarsus		isolate: BK2, sex: male	56441	GWplu1.0	GCA_001655115.1	GenBank		Scaffold	5094	997399373	2016-06-02		PRJNA314915	SAMN04545452
Phylloscopus trochiloides trochiloides		isolate: LN10, sex: male	144761	GWtro1.0	GCA_001655135.1	GenBank		Scaffold	2938	975891682	2016-06-02		PRJNA314720	SAMN04539782
Passer domesticus	House sparrow	isolate: 8887266, sex: female	48849	Passer_domesticus-1.0	GCA_001700915.1	GenBank		Chromosome	51426	1042703894	2016-08-31		PRJNA255814	SAMN02929199
Manacus vitellinus	golden-collared manakin	isolate: BGI_N305, sex: female	328815	ASM171598v3	GCA_001715985.3	GenBank		Scaffold	290580	1072328541	2019-07-03		PRJNA335611	SAMN02299332
Crocodylus porosus	Australian saltwater crocodile	isolate: Cpor-Errol, sex: male	8502	CroPor_comp1	GCA_001723895.1	GenBank		Scaffold	34073	2049519336	2016-09-13		PRJNA163131	SAMN03102602
Gavialis gangeticus	Gharial	isolate: Ggan-Ray, sex: female	94835	GavGan_comp1	GCA_001723915.1	GenBank		Scaffold	14799	2640775248	2016-09-13		PRJNA172383	SAMN03102901
Malaclemys terrapin terrapin		sex: female	391341	terp_v2_2	GCA_001728815.2	GenBank		Contig	437266	2439737865	2016-09-20		PRJNA339452	SAMN05591378
Setophaga coronata coronata	myrtle warbler	isolate: EE26A12, sex: male	1037456	mywa_2.1	GCA_001746935.2	GenBank		Chromosome	43576	1022634526	2020-12-08		PRJNA325157	SAMN05224218
Tympanuchus cupido pinnatus		isolate: GPC 3440, sex: female	211916	T_cupido_pinnatus_GPC_3440_v1	GCA_001870855.1	GenBank		Scaffold	47484	983776544	2016-11-07		PRJNA330991	SAMN05433571
Falco peregrinus	peregrine falcon	sex: male	8954	falPer2	GCA_001887755.1	GenBank		Chromosome	33994	1112064469	2016-12-02		PRJNA347893	SAMN02981425
Columba livia	rock pigeon	breed: Danish Tumbler, sex: male	8932	colLiv2	GCA_001887795.1	GenBank		Chromosome	27697	1018016946	2016-12-02		PRJNA347893	SAMN02981415
Ciconia boyciana	Oriental stork	isolate: 2881A	52775	Ciconia boyciana_ver1.0	GCA_002002965.1	GenBank		Scaffold	11009	1364945554	2017-02-09		PRJDB4709	SAMD00050841
Grus japonensis	Red-crowned crane	isolate: 451A	30415	Grus japonensis_ver1.0	GCA_002002985.1	GenBank		Scaffold	8228	1265634512	2017-02-10		PRJDB4708	SAMD00050840
Gallirallus okinawae	Okinawa rail		547194	Gallirallus_okinawae_ver1.0	GCA_002003005.1	GenBank		Contig	6245	1114530436	2017-02-09		PRJDB4707	SAMD00050839
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	Tgut_diploid_1.0	GCA_002008985.2	GenBank		Contig	5807022	1138770338	2017-02-28		PRJNA368994	SAMN02981239
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	Canna_diploid_1.0	GCA_002021895.1	GenBank		Contig	5366327	1007374986	2017-02-28		PRJNA368994	SAMN02265252
Corvus cornix cornix		isolate: S_Up_H32, sex: male	932674	ASM202325v2	GCA_002023255.2	GenBank		Scaffold	8911460	1050110261	2017-04-25		PRJNA358092	SAMN02143031
Patagioenas fasciata monilis		isolate: BTP2013, sex: female	372326	NIATT_ARIZONA	GCA_002029285.1	GenBank	From INSDC submitter	Scaffold	17937	1089149042	2017-03-15	19528	PRJNA308039	SAMN04386172
Numida meleagris	helmeted guineafowl	breed: g44 Domestic line, isolate: 19003, sex: male	8996	NumMel1.0	GCA_002078875.2	GenBank		Chromosome	234926	1043247365	2017-06-01		PRJNA352321	SAMN05969731
Anser cygnoides	Swan goose	breed: Sichuan white goose, isolate: SCWG-2014	8845	GooseV1.0	GCA_002166845.1	GenBank		Scaffold	35039	1130276682	2017-06-02		PRJNA253976	SAMN02898389
Sporophila hypoxantha	tawny-bellied seedeater	isolate: MACN 5231	256693	SpoHypox2.0	GCA_002167245.1	GenBank		Scaffold	1043501	1067760248	2017-06-05		PRJNA382416	SAMN06754710
Phalacrocorax pelagicus	Pelagic cormorant	isolate: AR-AK-E1	2723871	ASM217343v1	GCA_002173435.1	GenBank		Scaffold	67731	1210663266	2017-06-06		PRJNA327123	SAMN06832911
Phalacrocorax auritus	double-crested cormorant	isolate: PW-MI-E2, sex: female	56069	ASM217345v1	GCA_002173455.1	GenBank		Scaffold	97559	1246050644	2017-06-06		PRJNA327123	SAMN06226698
Phalacrocorax harrisi	Galapagos flightless cormorant	isolate: CR59, sex: male	473964	Pharrisi_ref_V1	GCA_002173475.1	GenBank		Scaffold	100243	1202994831	2017-06-06		PRJNA327123	SAMN05301669
Phalacrocorax brasilianus	Neotropic cormorant	isolate: IPA14M001	37046	ASM217433v1	GCA_002174335.1	GenBank		Scaffold	35201	1346185690	2017-06-06		PRJNA327123	SAMN06832916
Lonchura striata domestica	Bengalese finch	isolate: white83orange57	299123	LonStrDom1	GCA_002197715.1	GenBank	From INSDC submitter	Scaffold	100439	1060152893	2017-06-19	15313	PRJNA369279	SAMN06283872
Callipepla squamata	scaled quail	sex: female, strain: Texas	9009	ASM221830v1	GCA_002218305.1	GenBank	From INSDC submitter	Scaffold	154132	1045281893	2017-07-13	17131	PRJNA301734	SAMN04255336
Anas zonorhyncha	Eastern spot-billed duck	breed: spot-billed, sex: female	75864	ASM222487v1	GCA_002224875.1	GenBank		Scaffold	33496	1310797575	2017-07-25		PRJNA392350	SAMN07337763
Anas platyrhynchos	mallard	breed: mallard, sex: female	8839	ASM222489v1	GCA_002224895.1	GenBank		Scaffold	38789	1265073014	2017-07-25		PRJNA392350	SAMN07337762
Uria lomvia	thick-billed guillemot	ecotype: Coats Island, sex: female	28711	UriLom_1.1	GCA_002289315.1	GenBank		Scaffold	24899	1179358714	2017-09-11		PRJNA395774	SAMN07414775
Phylloscopus trochilus acredula		isolate: 01L/19, sex: male	209779	ASM230583v1	GCA_002305835.1	GenBank		Scaffold	388702	1066518484	2016-06-08		PRJNA319295	SAMN04881205
Strix occidentalis caurina	northern spotted owl	isolate: Sequoia, sex: female	311401	Soccid_v01	GCA_002372975.1	GenBank		Scaffold	159062	1255541132	2017-09-26		PRJNA338167	SAMN05525316
Anser brachyrhynchus	Pink-footed goose	sex: male, strain: PFG001	132585	ASM259213v1	GCA_002592135.1	GenBank		Scaffold	97462	1116992394	2017-10-19		PRJNA404647	SAMN07629812
Agapornis roseicollis	peach-faced lovebird	isolate: lovebird_dirk_2015_01, sex: male	60468	ASM263189v1	GCA_002631895.1	GenBank		Scaffold	28585	1121789902	2017-10-23		PRJNA355979	SAMN06099614
Anas platyrhynchos platyrhynchos	common mallard	breed: Pekin duck, sex: male	8840	CAU_duck1.0	GCA_002743455.1	GenBank		Chromosome	88037	1136415614	2017-11-03		PRJNA403935	SAMN07569716
Gallus gallus	chicken	breed: Yeonsan Ogye, sex: female	9031	Ogye1.0	GCA_002798355.1	GenBank		Chromosome	639813	1021005462	2017-12-05		PRJNA412424	SAMN07713967
Limosa lapponica baueri		isolate: BTGAFAM01, sex: pooled male and female	1758121	Godwit_v1	GCA_002844005.1	GenBank	From INSDC submitter	Scaffold	21257	1034771378	2017-12-15	23009	PRJNA321163	SAMN05417616
Acridotheres javanicus	Javan myna	isolate: NGS004	451385	ASM284967v1	GCA_002849675.1	GenBank		Scaffold	144184	1051582182	2018-01-02		PRJNA415335	SAMN07828064
Zonotrichia albicollis	white-throated sparrow	isolate: Super-white morph, sex: female	44394	WTSP-SWSv1	GCA_002850735.1	GenBank		Scaffold	10896	1017281565	2018-01-03		PRJNA341682	SAMN05726874
Psittacula krameri	Rose-ringed parakeet	isolate: jrs2016, sex: female	9228	P.krameri1.0	GCA_002870145.1	GenBank		Scaffold	23132	1417809960	2018-01-09		PRJNA377329	SAMN06459718
Gopherus agassizii	Agassiz's desert tortoise	sex: male	38772	ASM289641v1	GCA_002896415.1	GenBank		Scaffold	43735	2184966080	2018-01-24		PRJNA352726	SAMN05991319
Cyanistes caeruleus	blue tit	isolate: BT333_1, sex: male	156563	cyaCae2	GCA_002901205.1	GenBank		Scaffold	105778	1186980630	2018-01-26		PRJNA284903	SAMN03734925
Bambusicola thoracicus	Chinese bamboo-partridge	isolate: RTK389, sex: female	9083	Bthov1.0	GCA_002909625.1	GenBank	From INSDC submitter	Scaffold	10597	1032295167	2018-01-31	17763	PRJNA396570	SAMN07428836
