Organism	AssemblyName	AssemblyAccession	Annotation	Level	ContigN50	Size	n
Plectropomus_leopardus	Pleo_1.0	GCA_011397275.1	NA	Chromosome	1139749	787600493	54
Podarcis_muralis	PodMur_1.0	GCF_004329235.1	NCBI Annotation Release 100	Chromosome	714612	1511002858	15
Poecilia_formosa	Poecilia_formosa-5.1.2	GCF_000485575.1	NCBI Annotation Release 101	Scaffold	57472	748923461	59
Poecilia_reticulata	Guppy_female_1.0+MT	GCF_000633615.1	NCBI Annotation Release 101	Chromosome	41913	731605743	960
Taeniopygia_guttata	bTaeGut2.pat.W.v2	GCF_008822105.2	NCBI Annotation Release 105	Chromosome	4378277	1068971253	24
Pungitius_pungitius	NSP_V7	GCF_902500615.1	NCBI Annotation Release 100	Scaffold	2775277	466582808	31
Strix_occidentalis_caurina	Soccid_v01	GCA_002372975.1	NA	Scaffold	159062	1255541132	10
Sylvia_atricapilla	bSylAtr1.pri	GCA_009819655.1	NA	Chromosome	7345957	1066786587	110
Sylvia_borin	bSylBor1.pri	GCA_014839755.1	NA	Chromosome	31914676	1045652180	5
Symphodus_melops	ASM281910v1	GCA_002819105.1	NA	Contig	461652	614569099	65
Takifugu_flavidus	ASM371156v2	GCA_003711565.2	From INSDC submitter	Chromosome	4357567	366286831	8
Takifugu_rubripes	fTakRub1.2	GCF_901000725.2	NCBI Annotation Release 103	Chromosome	3136617	384110215	29
Takifugu_bimaculatus	XU_Tbim_1.0	GCA_004026145.2	From INSDC submitter	Chromosome	1312995	404311738	8
Thunnus_albacares	ASM90030262v1	GCA_900302625.1	NA	Scaffold	16808	728212003	91
