Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Amphilophus citrinellus	Midas cichlid		61819	Midas_v5	GCA_000751415.1	GenBank		Scaffold	23456	844902565	2014-09-07		PRJEB6974	SAMEA2698536
Cyprinodon nevadensis pectoralis		isolate: South Scruggs Spring subpopulation	69242	ASM77601v1	GCA_000776015.1	GenBank		Scaffold	1416	1011849000	2014-11-13		PRJNA254053	SAMN03072616
Periophthalmodon schlosseri	giant mudskipper	sex: pooled male and female	1365757	PS.fa	GCA_000787095.1	GenBank		Scaffold	16946	679761122	2014-12-02		PRJNA232436	SAMN03201695
Periophthalmus magnuspinnatus		sex: pooled male and female	409849	PM.fa	GCA_000787105.1	GenBank		Scaffold	28254	701696780	2014-12-02		PRJNA232435	SAMN03201694
Scartelaos histophorus	walking goby	sex: pooled male and female	166764	SH.fa	GCA_000787155.1	GenBank		Scaffold	8806	695008792	2014-12-02		PRJNA232437	SAMN03201693
Pseudopleuronectes yokohamae	marbled flounder		245875	Pyoko_1.0	GCA_000787555.1	GenBank		Contig	1994	547831023	2014-11-24		PRJDB3259	SAMD00021058
Boleophthalmus pectinirostris	great blue-spotted mudskipper	sex: pooled male and female	150288	BP.fa	GCA_000788275.1	GenBank		Scaffold	20438	955735039	2014-12-02		PRJNA232434	SAMN03201692
Fundulus heteroclitus	mummichog	isolate: Maine, sex: female	8078	Fundulus_heteroclitus-3.0.2	GCA_000826765.1	GenBank		Scaffold	16689	1021882034	2015-01-21		PRJNA177717	SAMN03277211
Nothobranchius furzeri	turquoise killifish	breed: GRZ, isolate: 7, sex: male	105023	NotFur1	GCA_000878545.1	GenBank		Scaffold	8598	1022966143	2015-02-20		PRJNA221357	SAMN02750843
Larimichthys crocea	large yellow croaker	isolate: SSNF	215358	L_crocea_2.0	GCA_000972845.2	GenBank		Chromosome	277487	657923191	2018-11-27		PRJNA245366	SAMN03092871
Lates calcarifer	barramundi perch	breed: P12C03, sex: male	8187	ASM101014v1	GCA_001010145.1	GenBank		Scaffold	14534	589095062	2015-05-18		PRJNA280691	SAMN03466679
Austrofundulus limnaeus		sex: male, strain: Quisiro	52670	Austrofundulus_limnaeus-1.0	GCA_001266775.1	GenBank		Scaffold	8097	866963281	2015-07-28		PRJNA280995	SAMN03490872
Poecilia latipinna	sailfin molly	isolate: Pla-1442-1.1, sex: female	48699	P_latipinna-1.0	GCA_001443285.1	GenBank		Scaffold	33278	815144743	2015-11-13		PRJNA196862	SAMN02048973
Poecilia mexicana	shortfin molly	isolate: Pme_1353_1.1, sex: female	48701	P_mexicana-1.0	GCA_001443325.1	GenBank		Scaffold	39840	801711499	2015-11-13		PRJNA196869	SAMN02048972
Xiphophorus hellerii	green swordtail	sex: female, strain: Sarabia	8084	Xiphophorus_hellerii-3.0.1	GCA_001443345.1	GenBank		Scaffold	11299	733802474	2015-11-13		PRJNA290782	SAMN03968850
Xiphophorus couchianus	Monterrey platyfish	sex: female	32473	X_couchianus-1.0	GCA_001444195.3	GenBank		Chromosome	15315838	688524871	2018-09-19		PRJNA290781	SAMN03922721
Cottus rhenanus		sex: male, strain: Naaf	446433	ASM145555v1	GCA_001455555.1	GenBank		Scaffold	2129	563609416	2015-12-02		PRJNA297779	SAMN04145896
Nothobranchius furzeri	turquoise killifish	sex: female, strain: GRZ	105023	Nfu_20140520	GCA_001465895.2	GenBank		Chromosome	19950	1242498532	2015-12-11		PRJEB5837	SAMEA2698544
Miichthys miiuy	Mi-iuy croaker	sex: female	240162	ASM159371v1	GCA_001593715.1	GenBank		Scaffold	81271	619300777	2016-03-17		PRJNA272995	SAMN02486174
Lates calcarifer	barramundi perch	isolate: ASB-BC8, sex: male	8187	ASM164080v1	GCA_001640805.1	GenBank		Scaffold	1066117	668464831	2016-05-09		PRJNA294489	SAMN04026617
Kryptolebias marmoratus	mangrove rivulus	isolate: JLee-2015, sex: hermaphrodite	37003	ASM164957v2	GCA_001649575.2	GenBank		Chromosome	57646	680638340	2020-11-09		PRJNA626665	SAMN04622665
Morone saxatilis	striped sea-bass	breed: North Carolina State University Domesticated Broodstock SB-2011	34816	SBDraft1	GCA_001663605.1	GenBank		Scaffold	17868	585166552	2016-06-16		PRJNA266827	SAMN03174709
Kryptolebias marmoratus	mangrove rivulus	sex: hermaphrodite, strain: RHL	37003	ASM166395v1	GCA_001663955.1	GenBank		Scaffold	16024	653959781	2016-06-17		PRJNA290522	SAMN03892719
Mola mola	ocean sunfish	isolate: MOLMO, sex: female	94237	ASM169857v1	GCA_001698575.1	GenBank		Scaffold	23239	639451992	2016-08-08		PRJNA305960	SAMN04335856
Oreochromis niloticus	Nile tilapia	isolate: F11D_XX, sex: female	8128	O_niloticus_UMD_NMBU	GCA_001858045.3	GenBank		Chromosome	2923640	1005664923	2018-06-29		PRJNA344471	SAMN05859795
Hippocampus comes	tiger tail seahorse	isolate: QL1, sex: male	109280	H_comes_QL1_v1	GCA_001891065.1	GenBank		Scaffold	39546	493759415	2016-12-08		PRJNA314292	SAMN04531611
Paralichthys olivaceus	Japanese flounder	isolate: ysfri_paol, sex: female	8255	ParOli_1.1	GCA_001904815.2	GenBank		Chromosome	30544	545775252	2017-03-15		PRJNA73673	SAMN05981185
Sebastes minor		isolate: S-Minor-200	214483	ASM191076v2	GCA_001910765.2	GenBank		Scaffold	1901	681652711	2016-12-20		PRJNA236304	SAMN03354192
Sebastes steindachneri		isolate: S-Stein-200	201708	ASM191078v2	GCA_001910785.2	GenBank		Scaffold	1311	648011071	2016-12-20		PRJNA236323	SAMN03579458
Sebastes aleutianus	rougheye rockfish	isolate: Aleu4	214485	ASM191080v2	GCA_001910805.2	GenBank		Scaffold	10838	899650391	2016-12-20		PRJNA229179	SAMN03964772
Monopterus albus	swamp eel	sex: male	43700	M_albus_1.0	GCA_001952655.1	GenBank		Scaffold	22239	684127526	2017-01-17		PRJNA183073	SAMN06219872
Paralichthys olivaceus	Japanese flounder	breed: gynogenesis, sex: female	8255	Flounder_ref_guided_V1.0	GCA_001970005.2	GenBank		Scaffold	36690	643894737	2017-01-24		PRJNA344006	SAMN05817825
Acanthochromis polyacanthus	spiny chromis	ecotype: Palm Islands	80966	ASM210954v1	GCA_002109545.1	GenBank		Scaffold	16099	991584656	2017-04-25		PRJNA311159	SAMN06347167
Maccullochella peelii	Murray cod	isolate: KMC200	135761	mcod_v1	GCA_002120245.1	GenBank		Scaffold	70439	633241041	2017-05-09		PRJNA290988	SAMN03938494
Seriola quinqueradiata	Japanese amberjack	isolate: Squ1	8161	Squ_1.0	GCA_002207885.1	GenBank		Scaffold	19672	861629195	2017-06-12		PRJDB5349	SAMD00068660
Seriola quinqueradiata	Japanese amberjack	isolate: Squ1	8161	Squ_2.0	GCA_002217815.1	GenBank		Scaffold	872227	639269536	2017-07-05		PRJDB5854	SAMD00083042
Oryzias latipes	Japanese medaka	sex: male, strain: Hd-rR	8090	ASM223467v1	GCA_002234675.1	GenBank		Chromosome	2530934	734040372	2017-07-27		PRJNA325079	SAMN06689957
Oryzias latipes	Japanese medaka	sex: male, strain: HSOK	8090	ASM223469v1	GCA_002234695.1	GenBank		Chromosome	3516609	744414398	2017-07-27		PRJNA325194	SAMN06690114
Oryzias latipes	Japanese medaka	sex: male, strain: HNI	8090	ASM223471v1	GCA_002234715.1	GenBank		Chromosome	1450098	677633405	2017-07-27		PRJNA325193	SAMN06689975
Seriola dumerili	greater amberjack	isolate: Sdu_G_001	41447	Sdu_1.0	GCA_002260705.1	GenBank		Scaffold	249755	677669644	2017-08-03		PRJDB5856	SAMD00083043
Micropterus floridanus	Florida bass	isolate: GALMBF000, sex: female	225391	ASM259238v1	GCA_002592385.1	GenBank		Contig	10978	1001521525	2017-10-19		PRJNA398142	SAMN07502010
Xiphophorus maculatus	southern platyfish	sex: male, strain: JP 163 A	8083	X_maculatus-5.0-male	GCA_002775205.2	GenBank		Chromosome	9181372	704304519	2017-12-07		PRJNA72525	SAMN08025980
Amphiprion ocellaris	clown anemonefish	isolate: DU_AmpOce	80972	AmpOce1.0	GCA_002776465.1	GenBank		Scaffold	324210	880704246	2017-11-16		PRJNA407816	SAMN07982614
Seriola lalandi dorsalis		ecotype: SW California, isolate: HSWRI2012SDOR001	1841481	Sedor1	GCA_002814215.1	GenBank		Scaffold	51346	732493304	2017-12-08		PRJNA319656	SAMN04902367
Symphodus melops	corkwing wrasse	isolate: Skagerak, sex: male	171736	ASM281910v1	GCA_002819105.1	GenBank		Contig	461652	614569099	2017-12-05		PRJNA354496	SAMN06339785
Coryphaenoides rupestris	roundnose grenadier	ecotype: Mid-Atlantic Ridge, isolate: MGRH-2017	163118	ASM289596v1	GCA_002895965.1	GenBank		Scaffold	20848	829208733	2018-01-23		PRJNA417902	SAMN08010939
Pagrus major	red seabream		143350	Pmaj_1.0	GCA_002897255.1	GenBank		Scaffold	2822	875465402	2017-12-28		PRJDB5593	SAMD00076252
Oryzias melastigma	Indian medaka	sex: pooled male and female, strain: HK-1	30732	ASM292280v2	GCA_002922805.2	GenBank		Chromosome	30057	778686656	2020-04-13		PRJNA401159	SAMN07596545
Seriola rivoliana	Almaco jack	isolate: HWSR04, sex: pooled male and female	173321	ASM299450v1	GCA_002994505.1	GenBank		Scaffold	740108	666125048	2018-03-12		PRJNA434264	SAMN08545647
Amphiprion percula	orange clownfish	isolate: AP_NGBR_F1_2018, sex: hermaphrodite	161767	Nemo_v1.1	GCA_003047355.2	GenBank		Chromosome	3123421	908939294	2018-11-28		PRJNA436093	SAMN08615572
Seriola lalandi	yellowtail amberjack	isolate: YTK006	302047	wag_ytk_001	GCA_003054885.1	GenBank		Scaffold	37711	766364468	2018-04-17		PRJNA314866	SAMN04544729
Gambusia affinis	western mosquitofish	isolate: NE01/NJP1002.9, sex: male	33528	ASM309773v1	GCA_003097735.1	GenBank	From INSDC submitter	Scaffold	17511	598663367	2018-05-08	19445	PRJNA386810	SAMN07157452
Scophthalmus maximus	turbot	ecotype: wild atlantic	52904	ASM318616v1	GCA_003186165.1	GenBank	From INSDC submitter	Chromosome	54836	524979463	2018-06-05	21194	PRJEB11743	SAMN08049846
Thunnus thynnus	Atlantic bluefin tuna		8237	GBYP_Tthy_1.0	GCA_003231725.1	GenBank		Scaffold	2430	648208697	2018-06-15		PRJNA432036	SAMN08408184
Sparus aurata	gilthead seabream	isolate: M197-DHL199-FB	8175	ASM330901v1	GCA_003309015.1	GenBank		Chromosome	32411	830381975	2018-07-19		PRJNA416845	SAMN09603368
Xiphophorus hellerii	green swordtail	sex: male, strain: 12219	8084	Xiphophorus_hellerii-4.1	GCA_003331165.2	GenBank		Chromosome	7084538	732889490	2019-12-05		PRJNA290782	SAMN09545741
Pungitius pungitius	ninespine stickleback	isolate: CR61149, sex: male	134920	ASM339955v1	GCA_003399555.1	GenBank		Scaffold	14136	441089565	2018-08-16		PRJNA324574	SAMN05210078
Seriola quinqueradiata	Japanese amberjack		8161	Haploid_YT_All_LG_ver.1	GCA_003402435.1	GenBank		Scaffold	20864	627268966	2018-07-12		PRJDB6445	SAMD00098161
Perca fluviatilis	European perch	isolate: Loo-19062017, sex: female	8168	UTU_Pfluv_1.1	GCA_003412525.1	GenBank		Scaffold	18197	958208937	2018-08-22		PRJNA450919	SAMN08954933
Oplegnathus fasciatus	barred knifejaw	strain: NIFS	163134	ASM341684v1	GCA_003416845.1	GenBank		Scaffold	29992	766301214	2018-08-22		PRJNA393383	SAMN07331350
Morone chrysops	white bass	isolate: DOM152	46259	DOM152_MoChry_1.0	GCA_003610055.1	GenBank		Scaffold	20318	620984155	2018-10-02		PRJNA492499	SAMN10103279
Betta splendens	Siamese fighting fish	isolate: Giant, sex: male	158456	ASM365015v1	GCA_003650155.1	GenBank		Scaffold	38053	456232186	2018-10-15		PRJNA416843	SAMN07955939
Takifugu flavidus	sansaifugu	isolate: HTHZ2018, sex: female	433684	ASM371156v2	GCA_003711565.2	GenBank	From INSDC submitter	Chromosome	4357567	366286831	2019-08-16	29408	PRJNA491395	SAMN10077091
Larimichthys crocea	large yellow croaker	isolate: JMULYC20181020, sex: female	215358	ASM371158v2	GCA_003711585.2	GenBank	From INSDC submitter	Chromosome	1327071	744270469	2019-11-14	25399	PRJNA491413	SAMN10077518
Larimichthys crocea	large yellow croaker	breed: Fufa I, sex: female	215358	LCFGL_HiC_1.0	GCA_003845795.1	GenBank	From INSDC submitter	Chromosome	2833482	721257125	2018-11-27	995	PRJNA505758	SAMN10434301
Pungitius pungitius	ninespine stickleback	isolate: Suqi River 13.3	134920	ASM393509v1	GCA_003935095.1	GenBank		Scaffold	11580	463354535	2018-12-14		PRJNA429208	SAMN08331111
Oryzias javanicus	javanese ricefish	isolate: RS831, sex: female	123683	OJAV_1.1	GCA_003999625.1	GenBank	From INSDC submitter	Chromosome	3558013	809679899	2019-01-08	21454	PRJNA505405	SAMN10417210
Lateolabrax maculatus	spotted sea bass	sex: male	315492	ASM402354v1	GCA_004023545.1	GenBank		Chromosome	42653	519239411	2019-01-15		PRJNA408177	SAMN07680090
Takifugu bimaculatus		isolate: TB-2018, sex: female	433685	XU_Tbim_1.0	GCA_004026145.2	GenBank	From INSDC submitter	Chromosome	1312995	404311738	2019-06-21	20142	PRJNA508537	SAMN10524747
Collichthys lucidus	big head croaker	isolate: JT15FE1705JMU, sex: female	240159	ASM411991v1	GCA_004119915.1	GenBank	From INSDC submitter	Chromosome	1098566	877615421	2019-01-30	27788	PRJNA495441	SAMN10225518
Sebastes schlegelii	Schlegel's black rockfish	isolate: SS_1	214486	ASM433531v1	GCA_004335315.1	GenBank		Contig	14246	728476695	2019-03-08		PRJNA511689	SAMN10490953
Sebastes koreanus		isolate: SK_1	290523	ASM433533v1	GCA_004335335.1	GenBank		Contig	16662	725092264	2019-03-08		PRJNA511689	SAMN10490951
Sebastes nudus	ogon-murasoi	isolate: SN_1	1617787	ASM433536v1	GCA_004335365.1	GenBank		Contig	11290	724045237	2019-03-08		PRJNA511689	SAMN10490952
Pseudoliparis sp. Yap Trench		ecotype: yap trench, sex: male	2499240	ASM433547v1	GCA_004335475.1	GenBank		Scaffold	523845	840640641	2019-03-08		PRJNA512070	SAMN10662039
Oryzias latipes	Japanese medaka	sex: male, strain: Hd-rR	8090	ASM434744v1	GCA_004347445.1	GenBank		Chromosome	2416720	789703053	2019-03-15		PRJNA325079	SAMN06689957
Oryzias latipes	Japanese medaka	sex: male, strain: HSOK	8090	ASM434809v1	GCA_004348095.1	GenBank		Chromosome	3258597	808961282	2019-03-15		PRJNA325194	SAMN06690114
Oryzias latipes	Japanese medaka	sex: male, strain: HNI	8090	ASM434813v1	GCA_004348135.1	GenBank		Chromosome	1303079	749060063	2019-03-15		PRJNA325193	SAMN06689975
Larimichthys crocea	large yellow croaker	sex: female, strain: DH2-L1	215358	ASM435267v1	GCA_004352675.1	GenBank		Chromosome	1604676	684344543	2019-01-30		PRJNA480121	SAMN09701101
Perca flavescens	yellow perch	isolate: YP-PL-M2, sex: male	8167	PFLA_1.0	GCA_004354835.1	GenBank	From INSDC submitter	Chromosome	4268950	877439799	2019-03-19	24486	PRJNA514308	SAMN10722690
Anarrhichthys ocellatus	wolf-eel	isolate: YVR2014, sex: female	433405	GSC_Weel_1.0	GCA_004355925.1	GenBank		Scaffold	41757	612774492	2019-03-08		PRJNA496475	SAMN10245424
Ophiodon elongatus		isolate: SJ_89, sex: female	225387	GSC_LCod_1.0	GCA_004358465.1	GenBank		Scaffold	31240	635567917	2019-03-08		PRJNA496476	SAMN10245457
Channa argus	northern snakehead	isolate: OARG1902GOOAL, sex: female	215402	ASM478618v1	GCA_004786185.1	GenBank	From INSDC submitter	Chromosome	11786852	644129659	2019-04-15	22593	PRJNA522012	SAMN10910622
Morone saxatilis	striped sea-bass	isolate: NCDOM2014, sex: pooled male and female	34816	NCSU_SB_2.0	GCA_004916995.1	GenBank		Scaffold	17211	598109547	2019-04-26		PRJNA532441	SAMN11399929
Planiliza haematocheilus	so-iny mullet	isolate: Korea, sex: pooled male and female	370040	Liza_haematocheila_0.1	GCA_005024645.1	GenBank		Contig	3973280	747342729	2019-05-01		PRJNA531337	SAMN11356700
Epinephelus lanceolatus	giant grouper	isolate: Andai001, sex: female	310571	ASM528154v1	GCA_005281545.1	GenBank		Chromosome	159800	1087399367	2019-05-13		PRJNA516312	SAMN10786578
Macquaria australasica	Macquarie perch	isolate: MP_SCH12	135765	DU_Maus_v1.0	GCA_005408345.1	GenBank		Scaffold	678975	675976139	2019-05-16		PRJNA516983	SAMN10817714
Oreochromis aureus	blue tilapia	isolate: CB-2016, sex: female	47969	ASM587006v1	GCA_005870065.1	GenBank		Scaffold	60340	918937175	2019-05-28		PRJNA539829	SAMN11513266
Reinhardtius hippoglossoides	Greenland flounder	ecotype: Greenland, isolate: HD-2018-mb, sex: female	111784	MU_Rhippo_v1	GCA_006182925.2	GenBank		Scaffold	775256	677540803	2019-07-25		PRJNA499109	SAMN11811143
Gasterosteus aculeatus	three-spined stickleback	ecotype: freshwater, isolate: NID, sex: female	69293	NID	GCA_006229165.1	GenBank		Scaffold	38090	467452432	2019-06-11		PRJNA525775	SAMN11077409
Gasterosteus aculeatus	three-spined stickleback	ecotype: freshwater, isolate: BOT, sex: female	69293	BOT	GCA_006229185.1	GenBank		Scaffold	32541	427295814	2019-06-11		PRJNA525775	SAMN11077410
Gasterosteus aculeatus	three-spined stickleback	ecotype: marine, isolate: BAM, sex: female	69293	BAM	GCA_006232265.1	GenBank		Scaffold	24675	445644378	2019-06-11		PRJNA525775	SAMN11077411
Gasterosteus aculeatus	three-spined stickleback	ecotype: marine, isolate: SYL, sex: female	69293	SYL	GCA_006232285.1	GenBank		Scaffold	32252	431811987	2019-06-11		PRJNA525775	SAMN11077408
Scophthalmus maximus	turbot	isolate: ysfricsl-2016a, sex: female	52904	Turbot_ysfricsl_Female_v1.0	GCA_006346445.1	GenBank	From INSDC submitter	Scaffold	27893	568466451	2019-06-14	26434	PRJNA542243	SAMN11618026
Scophthalmus maximus	turbot	isolate: ysfricsl-2016b, sex: male	52904	ASM634646v1	GCA_006346465.1	GenBank		Scaffold	45259	587187767	2019-06-14		PRJNA542243	SAMN11618027
Liparis tanakae	Tanaka's snailfish	ecotype: East Sea, South Korea, sex: male	230148	SNU_Ltan_1.0	GCA_006348945.1	GenBank	From INSDC submitter	Scaffold	9903	498979456	2019-06-14	68289	PRJNA523297	SAMN10970109
Epinephelus moara	kelp grouper	isolate: mb	300413	YSFRI_EMoa_1.0	GCA_006386435.1	GenBank		Chromosome	76174	1030460988	2019-06-26		PRJNA543191	SAMN11657372
Pachypanchax playfairii	golden panchax	isolate: SEY 05	52664	MPIBA_Ppla_1.0	GCA_006937955.1	GenBank		Scaffold	76641	669774067	2019-07-12		PRJNA531796	SAMN11370848
Callopanchax toddi		isolate: GM 97/7	60409	MPIBA_Ctod_1.0	GCA_006937965.1	GenBank		Scaffold	52012	853385936	2019-07-12		PRJNA531796	SAMN11370820
Aphyosemion australe	lyretail killifish	isolate: gold	52653	MPIBA_Aaus_1.0	GCA_006937985.1	GenBank		Scaffold	119465	868348903	2019-07-12		PRJNA531796	SAMN11370804
Nothobranchius kuhntae	Beira killifish	isolate: MZCS528	321403	MPIBA_Nkuh_1.0	GCA_006942095.1	GenBank		Scaffold	22234	1122656415	2019-07-12		PRJNA531796	SAMN11370845
Neogobius melanostomus	round goby	isolate: 20150602_KH_C, sex: male	47308	RGoby_Basel_V2	GCA_007210695.1	GenBank		Contig	2817412	1003738541	2019-07-22		PRJNA549924	SAMN12099445
Archocentrus centrarchus	flier cichlid	isolate: MPI-CPG fArcCen1, sex: male	63155	fArcCen1_v1.h	GCA_007364235.1	GenBank		Scaffold	455563	1034011644	2019-07-24		PRJNA489130	SAMN09948522
Archocentrus centrarchus	flier cichlid	isolate: MPI-CPG fArcCen1, sex: male	63155	fArcCen1	GCA_007364275.2	GenBank		Chromosome	2146538	932930362	2019-08-01		PRJNA489129	SAMN09948522
Kryptolebias hermaphroditus		strain: Pan-RS	1747188	ASM789654v1	GCA_007896545.1	GenBank		Chromosome	46411	683986837	2019-08-08		PRJNA545021	SAMN11869169
Thalassoma bifasciatum	bluehead	isolate: BHW_63_Ovary, sex: female	76338	UOO_Thbifa_1.2	GCA_008086565.1	GenBank		Scaffold	122955	1095910316	2019-08-02		PRJNA293777	SAMN10258813
Cebidichthys violaceus	monkeyface prickleback	ecotype: Intertidal, strain: 4_UCI_frozen_042015	271503	Cvio_1.0	GCA_008087265.1	GenBank		Scaffold	5507153	593001491	2019-08-26		PRJNA384078	SAMN06857690
Oreochromis spilurus		isolate: Aljahdali-2019	64544	ASM826930v1	GCA_008269305.1	GenBank		Contig	11851	764974731	2019-09-03		PRJNA551931	SAMN12169131
Sander lucioperca	pikeperch	isolate: FBNREF2018, sex: male	283035	SLUC_FBN_1.2	GCA_008315115.2	GenBank		Chromosome	6663498	901221791	2020-08-13		PRJNA561467	SAMN12618724
Macquaria ambigua	golden perch	isolate: GOP001	135764	GOP001_1.1	GCA_008360985.1	GenBank		Scaffold	243852	661429323	2019-09-09		PRJNA556086	SAMN12340637
Oryzias sinensis	Chinese medaka	ecotype: Beijing, sex: male	183150	ASM858656v1	GCA_008586565.1	GenBank		Scaffold	28180	813986518	2019-09-19		PRJNA549378	SAMN12084253
Etheostoma spectabile	orangethroat darter	isolate: EspeVRDwgs_2016, sex: male	54343	UIUC_Espe_1.0	GCA_008692095.1	GenBank	From INSDC submitter	Chromosome	26023	854790067	2019-10-07	18816	PRJNA556880	SAMN12373147
Plectropomus leopardus	leopard coralgrouper	isolate: mb	160734	YSFRI_Pleo_2.0	GCA_008729295.2	GenBank		Chromosome	897070	895688574	2020-05-07		PRJNA545594	SAMN11897347
