transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_031560839.1	gene-LOC105892185	2061	11551	no	1327	387	22	325
rna-XM_031560978.1	gene-LOC105892193	888	13321	yes	570	180	16	122
rna-XM_031561043.1	gene-LOC105892193	888	8066	no	570	180	16	122
rna-XM_031569229.1	gene-LOC105892183	6687	82932	yes	4285	1183	121	1098
rna-XM_012818422.2	gene-LOC105892188	405	4210	yes	269	71	7	58
rna-XM_031561246.1	gene-LOC105892200	2031	8188	yes	1308	347	31	345
rna-XM_031561297.1	gene-LOC105892200	1980	8187	no	1274	334	31	341
rna-XM_012818442.2	gene-sgsm3	2277	22431	yes	1447	430	28	372
rna-XM_031561167.1	gene-sgsm3	2265	21061	no	1439	423	29	374
rna-XM_031561427.1	gene-LOC105892194	2724	44408	no	1785	433	38	468
rna-XM_031561379.1	gene-LOC105892194	2724	44408	yes	1785	433	38	468
rna-XM_012818430.2	gene-gtf2f1	1662	9052	yes	1094	321	13	234
rna-XM_031561626.1	gene-gtf2f1	1659	9052	no	1092	320	13	234
rna-XM_031561560.1	gene-gtf2f1	1659	9052	no	1092	321	13	233
rna-XM_031561799.1	gene-gtf2f1	1656	9052	no	1090	320	13	233
rna-XM_012818436.2	gene-gtf2f1	1620	9052	no	1067	312	13	228
rna-XM_012818438.2	gene-gtf2f1	1617	9052	no	1065	311	13	228
rna-XM_031561730.1	gene-gtf2f1	1617	9052	no	1065	312	13	227
rna-XM_012818441.2	gene-alkbh7	714	1767	yes	455	138	14	107
rna-XM_031561876.1	gene-LOC105892182	6831	95183	yes	4419	1254	109	1049
rna-XM_012818423.2	gene-LOC105892189	585	1299	yes	379	105	9	92
rna-XM_031562038.1	gene-LOC105892190	1767	11234	no	1139	294	15	319
rna-XM_031561975.1	gene-LOC105892190	1773	11234	yes	1143	294	15	321
rna-XM_031562100.1	gene-LOC105892190	1692	11234	no	1091	280	14	307
rna-XM_031562284.1	gene-LOC105892190	1692	11234	no	1091	280	14	307
rna-XM_031562160.1	gene-LOC105892190	1692	10232	no	1091	280	14	307
rna-XM_031562377.1	gene-LOC105892190	1692	9848	no	1091	280	14	307
rna-XM_031562323.1	gene-LOC105892190	1692	9651	no	1091	280	14	307
rna-XM_031562214.1	gene-LOC105892190	1692	9651	no	1091	280	14	307
id-LOC105892181	gene-LOC105892181	2115	6458	yes	1365	378	27	345
rna-XM_031571689.1	gene-LOC116221446	1431	27625	yes	953	244	22	212
rna-XM_012823571.2	gene-LOC105896770	2049	16196	yes	1327	370	34	318
id-LOC116217872	gene-LOC116217872	370	552	yes	237	68	10	54
id-LOC105904562	gene-LOC105904562	354	474	yes	232	61	8	53
id-LOC116221487	gene-LOC116221487	354	590	yes	229	63	8	54
id-LOC116221560	gene-LOC116221560	357	482	yes	231	65	8	53
id-LOC116221797	gene-LOC116221797	354	599	yes	229	64	7	54
id-LOC116221823	gene-LOC116221823	354	464	yes	229	63	7	55
id-LOC116219583	gene-LOC116219583	357	494	yes	233	62	8	54
id-LOC105908682	gene-LOC105908682	354	503	yes	227	64	7	56
id-LOC116219635	gene-LOC116219635	354	508	yes	231	60	7	56
id-LOC105896767	gene-LOC105896767	354	484	yes	229	63	7	55
id-LOC116219657	gene-LOC116219657	354	619	yes	229	62	7	56
id-LOC116221848	gene-LOC116221848	399	519	yes	260	70	10	59
id-LOC116221902	gene-LOC116221902	402	2249	yes	263	63	6	70
id-LOC116219330	gene-LOC116219330	444	709	yes	288	76	6	74
id-LOC116222044	gene-LOC116222044	354	702	yes	225	67	6	56
id-LOC116222065	gene-LOC116222065	393	508	yes	252	71	5	65
id-LOC116219747	gene-LOC116219747	246	431	yes	167	25	8	46
id-LOC116219436	gene-LOC116219436	372	489	yes	239	66	6	61
id-LOC116222099	gene-LOC116222099	402	671	yes	260	70	6	66
id-LOC116222113	gene-LOC116222113	354	596	yes	225	67	7	55
id-LOC116222141	gene-LOC116222141	390	614	yes	249	72	7	62
id-LOC116219699	gene-LOC116219699	354	676	yes	232	57	9	56
rna-XM_031575311.1	gene-LOC116222159	606	1358	yes	392	107	16	91
id-LOC116219601	gene-LOC116219601	354	518	yes	227	62	8	57
id-LOC116222291	gene-LOC116222291	354	474	yes	229	63	8	54
id-LOC116222372	gene-LOC116222372	354	491	yes	231	61	8	54
id-LOC116219543	gene-LOC116219543	366	16982	yes	233	66	8	59
id-LOC116219366	gene-LOC116219366	444	991	yes	289	76	6	73
id-LOC116222418	gene-LOC116222418	398	813	yes	256	65	8	67
id-LOC116219495	gene-LOC116219495	367	518	yes	235	67	4	60
rna-XM_012837531.2	gene-LOC105908960	654	8080	yes	433	104	10	107
rna-XM_031563754.1	gene-LOC105908947	2244	11359	yes	1418	431	41	354
rna-XM_031573977.1	gene-LOC105908948	399	2704	yes	262	82	3	52
rna-XM_012837529.2	gene-LOC105908958	426	2587	yes	279	95	6	46
rna-XM_031563910.1	gene-LOC105908949	15756	48327	no	10090	3122	239	2305
rna-XM_031563839.1	gene-LOC105908949	15759	48327	yes	10092	3123	239	2305
rna-XM_031564137.1	gene-LOC105908956	1050	7919	no	668	209	18	155
rna-XM_031564132.1	gene-LOC105908956	1143	7913	yes	727	228	19	169
rna-XM_012837524.2	gene-pcyt2	1203	13826	yes	778	234	22	169
rna-XM_031564154.1	gene-LOC105908952	492	7225	no	310	82	4	96
rna-XM_012837521.2	gene-LOC105908952	492	7225	yes	310	82	4	96
rna-XM_012837537.2	gene-pycr1	954	6989	yes	614	154	17	169
rna-XM_031574071.1	gene-myadml2	912	2168	yes	594	141	12	165
rna-XM_031564170.1	gene-notum	1515	8406	yes	989	292	18	216
rna-XM_031564201.1	gene-LOC116219960	984	37092	no	629	200	7	148
rna-XM_031564175.1	gene-LOC116219960	1167	37092	yes	742	234	9	182
rna-XM_031564183.1	gene-LOC116219960	1110	37092	no	706	219	9	176
rna-XM_031564190.1	gene-LOC116219960	1104	36872	no	705	208	6	185
rna-XM_012837528.2	gene-cenpx	243	3875	yes	158	51	4	30
rna-XM_012837535.2	gene-LOC105908961	1446	4529	yes	950	242	14	240
rna-XM_012837536.2	gene-LOC105908963	1269	11930	yes	792	258	26	193
rna-XM_031564277.1	gene-LOC105908951	2292	25192	no	1479	422	52	339
rna-XM_031564267.1	gene-LOC105908951	2310	25168	yes	1491	425	53	341
rna-XM_031564273.1	gene-LOC105908951	2298	25163	no	1483	421	53	341
rna-XM_031564253.1	gene-LOC105892666	3426	19783	no	2205	616	71	534
rna-XM_031564259.1	gene-LOC105892666	3159	18630	no	2035	565	66	493
rna-XM_031564239.1	gene-LOC105892666	3429	49242	yes	2199	632	63	535
rna-XM_031564246.1	gene-LOC105892666	3426	25020	no	2198	632	63	533
rna-XM_031564315.1	gene-LOC105913031	3522	25781	no	2256	641	55	570
rna-XM_031564294.1	gene-LOC105913031	5097	25781	yes	3263	928	55	851
rna-XM_031564299.1	gene-LOC105913031	4878	21295	no	3120	889	54	815
rna-XM_031564304.1	gene-LOC105913031	4314	19697	no	2751	791	43	729
rna-XM_012842047.2	gene-LOC105913036	564	18183	yes	364	106	4	90
rna-XM_012842046.2	gene-LOC105913034	798	1688	yes	509	164	8	117
rna-XM_031564322.1	gene-LOC105913030	2610	16396	yes	1680	415	18	497
rna-XM_031564335.1	gene-kpnb1	2670	23020	yes	1714	489	50	417
rna-XM_031564343.1	gene-kpnb1	2631	22696	no	1688	481	49	413
rna-XM_012842045.2	gene-ube2m	558	5173	yes	354	115	11	78
rna-XM_012842041.2	gene-fbxl19	2646	28749	no	1673	455	17	501
rna-XM_031564354.1	gene-fbxl19	2688	28749	yes	1700	463	17	508
rna-XM_031564362.1	gene-fbxl19	2688	28749	no	1700	463	17	508
rna-XM_031564370.1	gene-fbxl19	2685	28749	no	1698	462	17	508
rna-XM_031564394.1	gene-LOC105913028	1830	15337	yes	1170	342	18	300
rna-XM_031564388.1	gene-LOC105913028	1830	10926	no	1170	342	18	300
rna-XM_012842054.2	gene-utp18	1560	6984	yes	1002	313	16	229
rna-XM_012842055.2	gene-LOC105913039	456	3055	yes	302	77	10	67
rna-XM_031564427.1	gene-mbtd1	2142	17414	no	1405	354	27	356
rna-XM_031564435.1	gene-mbtd1	1845	17414	no	1210	318	24	293
rna-XM_031564432.1	gene-mbtd1	2043	17414	no	1339	340	26	338
rna-XM_031564417.1	gene-mbtd1	2148	17414	yes	1409	356	27	356
rna-XM_031564443.1	gene-LOC105913037	4866	14302	yes	3170	912	27	757
rna-XM_031564449.1	gene-stx1b	867	47303	yes	565	172	23	107
rna-XM_012842037.2	gene-LOC105913026	1728	3652	yes	1114	304	14	296
rna-XM_012842030.2	gene-LOC105913016	1731	4201	yes	1112	283	13	323
rna-XM_031564455.1	gene-LOC105913005	1539	11516	yes	987	282	11	259
rna-XM_031564475.1	gene-LOC116219972	1455	3580	yes	945	197	28	285
rna-XM_031564485.1	gene-LOC105913032	1470	3499	yes	951	192	24	303
rna-XM_031564495.1	gene-LOC105912994	1413	4004	yes	917	189	24	283
rna-XM_031574228.1	gene-LOC116222017	1353	3806	yes	869	219	14	251
rna-XM_031574301.1	gene-LOC105888685	1356	8672	yes	880	216	14	246
rna-XM_031576986.1	gene-LOC105888678	1443	5576	yes	944	226	21	252
rna-XM_031576991.1	gene-LOC105888684	1377	3240	yes	898	212	20	247
rna-XM_031574437.1	gene-LOC105888677	1392	4047	yes	907	218	17	250
rna-XM_031574517.1	gene-LOC105888676	993	3692	yes	627	212	16	138
rna-XM_012814422.2	gene-LOC105888683	1377	3556	yes	893	227	17	240
rna-XM_031576998.1	gene-LOC116217919	4836	6410	yes	3145	779	103	809
rna-XM_012814426.2	gene-LOC105888686	342	2561	yes	220	69	9	44
rna-XM_031577002.1	gene-LOC116222539	1773	1825	yes	1133	385	7	248
rna-XM_031564518.1	gene-LOC105888679	2214	88190	yes	1424	362	32	396
rna-XM_031564528.1	gene-LOC116219975	1389	6251	yes	916	279	16	178
rna-XM_031574683.1	gene-LOC116222049	1251	5628	yes	815	238	19	179
rna-XM_031564538.1	gene-LOC105905290	1251	5470	yes	817	238	17	179
rna-XM_031564559.1	gene-LOC116219976	1344	7826	no	885	275	18	166
rna-XM_031564550.1	gene-LOC116219976	1389	7826	yes	916	279	16	178
rna-XM_012833288.2	gene-LOC105905284	1125	7189	yes	730	174	22	199
rna-XM_031564568.1	gene-LOC105905285	1557	21991	yes	995	333	26	203
rna-XM_031564574.1	gene-LOC105905285	1524	21990	no	973	329	26	196
rna-XM_012833293.2	gene-LOC105905289	300	1506	yes	193	65	5	37
rna-XM_031564595.1	gene-LOC105905289	261	1316	no	171	52	3	35
rna-XM_012833291.2	gene-LOC105905287	792	1386	yes	508	168	18	98
rna-XM_012833292.2	gene-LOC105905288	792	1474	yes	508	168	18	98
rna-XM_012833287.2	gene-sox8	1416	4344	yes	925	242	7	242
rna-XM_012833290.2	gene-LOC105905286	762	87458	yes	490	141	9	122
rna-XM_031564628.1	gene-LOC105905286	618	86575	no	398	118	7	95
rna-XM_031564657.1	gene-LOC105905277	1050	30906	no	679	214	17	140
rna-XM_031564651.1	gene-LOC105905277	1134	30906	yes	734	231	18	151
rna-XM_012833295.2	gene-LOC105905291	852	5420	yes	549	126	5	172
rna-XM_031564639.1	gene-LOC105905278	1635	2487	yes	1040	276	18	301
rna-XM_031564632.1	gene-LOC105905278	1635	2486	no	1040	276	18	301
rna-XM_031564671.1	gene-LOC105905281	1512	6508	yes	963	292	23	234
rna-XM_031577007.1	gene-LOC116222540	861	3105	yes	546	154	8	153
rna-XM_031564686.1	gene-LOC105905279	2616	11131	no	1698	471	25	422
rna-XM_012833284.2	gene-LOC105905279	2652	11129	yes	1722	473	26	431
rna-XM_031564694.1	gene-LOC105905279	2394	10432	no	1554	440	23	377
rna-XM_031564711.1	gene-LOC105905280	1515	15990	yes	969	287	20	239
rna-XM_031564705.1	gene-LOC105905280	1515	15989	no	969	287	20	239
rna-XM_031564718.1	gene-LOC116220001	762	1028	yes	484	173	13	92
rna-XM_031564699.1	gene-LOC105905276	1515	9043	yes	967	287	22	239
rna-XM_031564735.1	gene-sun1	3048	38102	no	1919	546	14	569
rna-XM_031564732.1	gene-sun1	3204	38101	yes	2022	573	15	594
rna-XM_031564744.1	gene-sun1	2949	37418	no	1867	525	14	543
rna-XM_031564728.1	gene-sun1	3204	37418	no	2022	573	15	594
rna-XM_031564755.1	gene-LOC116220004	1608	6243	yes	1035	283	7	283
rna-XM_031564762.1	gene-LOC105894519	729	5816	yes	452	149	5	123
rna-XM_031564796.1	gene-dnaaf5	2019	40585	no	1260	380	15	364
rna-XM_031564789.1	gene-dnaaf5	2148	40555	no	1342	401	20	385
rna-XM_031564784.1	gene-dnaaf5	2514	40219	yes	1571	481	28	434
rna-XM_031577014.1	gene-LOC116222544	441	23193	yes	282	91	7	61
rna-XM_031577023.1	gene-LOC105897420	708	27421	yes	456	115	13	124
rna-XM_031564805.1	gene-LOC105897421	573	8642	yes	367	107	9	90
rna-XM_012836269.2	gene-LOC105907868	456	4203	yes	301	77	6	72
rna-XM_012836280.2	gene-trap1	2154	8649	yes	1389	393	38	334
rna-XM_012836271.2	gene-LOC105907870	453	12663	yes	309	64	2	78
rna-XM_012836282.2	gene-mgrn1	1656	10224	no	1060	319	28	249
rna-XM_031564823.1	gene-mgrn1	1716	10224	yes	1099	334	27	256
rna-XM_031564833.1	gene-mgrn1	1653	10224	no	1058	318	28	249
rna-XM_031564838.1	gene-mgrn1	1644	10091	no	1052	321	24	247
rna-XM_031564844.1	gene-LOC105907854	1314	4245	yes	872	245	13	184
rna-XM_031564848.1	gene-LOC105907854	1314	3233	no	872	245	13	184
rna-XM_031574882.1	gene-LOC116222096	627	1710	yes	398	115	8	106
rna-XM_031574987.1	gene-LOC105907855	627	1596	yes	398	115	8	106
rna-XM_031564867.1	gene-LOC105907856	2589	37248	no	1670	452	46	421
rna-XM_031564861.1	gene-LOC105907856	2706	37248	yes	1740	477	48	441
rna-XM_031564877.1	gene-mpg	1407	11313	yes	876	273	7	251
rna-XM_031564883.1	gene-LOC105907873	942	5224	yes	604	155	12	171
rna-XM_031564892.1	gene-LOC105907859	3393	38759	yes	2192	603	58	540
rna-XM_031564912.1	gene-LOC116220021	1530	8594	no	1011	272	29	218
rna-XM_031564899.1	gene-LOC116220021	1569	8594	yes	1037	280	29	223
rna-XM_031564905.1	gene-LOC116220021	1569	8036	no	1037	280	29	223
rna-XM_031575086.1	gene-LOC105907860	768	5709	yes	501	126	16	125
rna-XM_012836279.2	gene-LOC105907875	987	28143	yes	647	169	22	149
rna-XM_031564926.1	gene-rpl23	423	3727	yes	275	58	10	80
rna-XM_031564969.1	gene-LOC116220027	786	5937	yes	508	152	13	113
rna-XM_031564933.1	gene-LOC105907874	1476	7740	yes	961	259	11	245
rna-XM_031564942.1	gene-LOC105907874	1464	7739	no	954	255	11	244
rna-XM_012836274.2	gene-LOC105907874	1470	7737	no	956	259	11	244
rna-XM_031564949.1	gene-LOC105907874	1461	7736	no	951	255	11	244
rna-XM_012836275.2	gene-LOC105907874	1458	7736	no	949	255	11	243
rna-XM_012836276.2	gene-LOC105907874	1455	7734	no	946	255	11	243
rna-XM_031564991.1	gene-LOC105907862	2016	8828	no	1295	365	27	329
rna-XM_031564980.1	gene-LOC105907862	2022	8827	yes	1299	366	27	330
rna-XM_031565004.1	gene-ccdc103	792	2624	yes	500	157	4	131
rna-XM_012836264.2	gene-fam187a	1248	1394	yes	805	220	12	211
rna-XM_031565018.1	gene-LOC105907865	1185	10022	no	769	158	12	246
rna-XM_012836266.2	gene-LOC105907865	1326	11853	yes	862	194	14	256
rna-XM_031565029.1	gene-tmem92	363	3927	yes	232	60	7	64
rna-XM_031565038.1	gene-LOC105907866	1824	9646	yes	1156	331	21	316
rna-XM_031565065.1	gene-LOC105907871	1644	20227	yes	1055	287	29	273
rna-XM_031565056.1	gene-LOC105907871	1644	20222	no	1055	287	29	273
rna-XM_031565046.1	gene-LOC105907871	1644	20222	no	1055	287	29	273
rna-XM_031565068.1	gene-LOC105907871	1527	20219	no	978	272	27	250
rna-XM_012836270.2	gene-LOC105907869	297	6457	yes	190	56	4	47
rna-XM_012836284.2	gene-LOC105907879	780	1069	yes	506	130	6	138
rna-XM_012836268.2	gene-LOC105907867	1371	82841	yes	883	244	18	226
rna-XM_031565097.1	gene-LOC116220034	3885	14968	yes	2529	755	74	527
rna-XM_012827168.2	gene-LOC105899940	555	3589	yes	362	105	6	82
rna-XM_012827089.1	gene-LOC105899868	828	2163	yes	542	151	5	130
rna-XM_012827163.2	gene-LOC105899934	762	8090	yes	508	123	8	123
rna-XM_031565107.1	gene-kat7	1866	11258	yes	1198	371	20	277
rna-XM_031565110.1	gene-kat7	1845	11253	no	1184	369	20	272
rna-XM_012827139.2	gene-kat7	1656	11248	no	1067	339	19	231
rna-XM_031565127.1	gene-LOC105899869	1002	3879	no	649	149	11	193
rna-XM_012827090.2	gene-LOC105899869	1080	3876	yes	702	166	13	199
rna-XM_012827091.2	gene-LOC105899870	2274	4766	yes	1487	430	45	312
rna-XM_012827209.2	gene-LOC105899973	768	5728	no	492	156	23	97
rna-XM_012827208.2	gene-LOC105899973	771	5725	yes	494	157	23	97
rna-XM_031565143.1	gene-LOC105899975	3132	15358	yes	2023	542	28	539
rna-XM_031565148.1	gene-LOC105899975	3078	15357	no	1988	531	28	531
rna-XM_012827211.2	gene-LOC105899975	3009	15354	no	1942	524	27	516
rna-XM_031565174.1	gene-LOC105899871	708	5504	no	448	131	7	122
rna-XM_012827093.2	gene-LOC105899871	708	5504	yes	448	131	7	122
rna-XM_031565181.1	gene-LOC105899871	708	5504	no	448	131	7	122
rna-XM_012827210.2	gene-LOC105899974	609	1985	yes	386	115	3	105
rna-XM_031565222.1	gene-LOC105899872	1347	6160	yes	866	271	14	196
rna-XM_031565233.1	gene-LOC105899873	1413	20495	yes	899	276	21	217
rna-XM_012827165.2	gene-LOC105899936	1866	63101	yes	1175	426	24	241
rna-XM_031565263.1	gene-LOC105899936	1620	25385	no	1017	365	21	217
rna-XM_012827144.2	gene-coil	1929	4085	yes	1222	349	15	343
rna-XM_031565275.1	gene-scpep1	1338	5118	yes	886	208	21	223
rna-XM_031565240.1	gene-engase	2187	14130	yes	1415	397	23	352
rna-XM_012827097.2	gene-LOC105899875	1722	8089	yes	1120	261	28	313
rna-XM_031577069.1	gene-LOC105899999	915	12745	yes	587	170	13	145
rna-XM_012827198.2	gene-LOC105899959	579	7019	yes	374	98	10	97
rna-XM_012827196.2	gene-LOC105899958	1467	11393	yes	942	289	21	215
rna-XM_012827197.2	gene-LOC105899958	1464	11391	no	940	292	21	211
rna-XM_031565314.1	gene-LOC105899958	1416	10026	no	908	285	21	202
rna-XM_031577075.1	gene-dus1l	975	4308	yes	622	212	8	133
rna-XM_031575455.1	gene-LOC105899877	609	2366	yes	400	108	10	91
rna-XM_012827227.2	gene-LOC105899987	1134	30679	yes	721	228	23	162
rna-XM_012827260.2	gene-LOC105900010	1434	11006	yes	937	272	22	203
rna-XM_012827258.2	gene-cog1	3048	16401	yes	1933	549	33	533
rna-XM_031565341.1	gene-cog1	2691	11829	no	1709	484	32	466
rna-XM_012827218.2	gene-smim22	246	1635	no	159	51	7	29
rna-XM_031565366.1	gene-smim22	375	1529	yes	237	80	10	48
rna-XM_012827217.2	gene-rogdi	855	5757	yes	557	172	10	116
rna-XM_031565405.1	gene-glyr1	1521	11596	no	1001	261	25	234
rna-XM_031565399.1	gene-glyr1	1524	11596	no	1003	261	25	235
rna-XM_012827212.2	gene-glyr1	1512	11595	no	994	259	26	233
rna-XM_031565426.1	gene-glyr1	1404	11595	no	924	240	26	214
rna-XM_031565420.1	gene-glyr1	1488	11595	no	979	253	26	230
rna-XM_031565392.1	gene-glyr1	1539	11595	no	1012	266	26	235
rna-XM_031565388.1	gene-glyr1	1542	11595	yes	1014	266	26	236
rna-XM_031565431.1	gene-glyr1	1278	11594	no	840	217	24	197
rna-XM_031565375.1	gene-ppl	5271	16317	yes	3349	1198	88	636
rna-XM_031565451.1	gene-LOC116220066	2211	49101	no	1406	406	26	373
rna-XM_031565453.1	gene-LOC116220066	2193	48564	no	1391	408	25	369
rna-XM_031565454.1	gene-LOC116220066	2193	47316	no	1391	408	25	369
rna-XM_031565455.1	gene-LOC116220066	2157	47316	no	1370	401	24	362
rna-XM_031565438.1	gene-LOC116220066	2226	41625	yes	1415	416	25	370
rna-XM_031565450.1	gene-LOC116220066	2214	41625	no	1407	414	25	368
rna-XM_031565449.1	gene-LOC116220066	2217	41625	no	1409	415	25	368
rna-XM_031565444.1	gene-LOC116220066	2223	41625	no	1413	416	25	369
rna-XM_031565448.1	gene-LOC116220066	2220	36907	no	1414	408	26	372
rna-XM_031565456.1	gene-LOC116220066	2139	36798	no	1358	397	24	360
rna-XM_031565452.1	gene-LOC116220066	2193	36266	no	1391	408	25	369
rna-XM_012827268.2	gene-rrn3	1845	8993	yes	1171	367	27	280
rna-XM_031565519.1	gene-LOC105899966	591	3204	yes	385	117	6	83
rna-XM_031565496.1	gene-pdxdc1	2391	14360	yes	1515	442	28	406
