transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_029845303.1	gene-LOC115251774	1260	6685	no	786	261	18	195
rna-XM_029845242.1	gene-LOC101077299	1764	6577	yes	1120	362	25	257
rna-XM_029845248.1	gene-LOC101077299	1761	6229	no	1118	361	25	257
rna-XM_029845238.1	gene-LOC101077299	1764	6229	no	1120	362	25	257
rna-XM_029845255.1	gene-LOC101077299	1722	6229	no	1093	355	25	249
rna-XM_029845193.1	gene-LOC115251740	2280	34965	no	1414	548	31	287
rna-XM_029845181.1	gene-LOC115251740	2559	34965	yes	1593	596	32	338
rna-XM_029845186.1	gene-LOC115251740	2469	34965	no	1533	584	33	319
rna-XM_029845184.1	gene-LOC115251740	2475	34965	no	1537	585	33	320
rna-XM_029845282.1	gene-glud1	1629	7434	yes	1046	284	38	261
rna-XM_003976888.3	gene-epas1	1080	2375	yes	675	212	9	184
rna-XM_029845203.1	gene-prkce	2223	19651	yes	1420	422	28	353
rna-XM_003979289.2	gene-LOC101073879	819	1898	yes	519	137	4	159
rna-XM_029845288.1	gene-LOC101078571	1149	11584	no	734	210	13	192
rna-XM_029845284.1	gene-LOC101078571	1437	10035	yes	915	252	13	257
rna-XM_029845214.1	gene-mta3	2106	24312	yes	1345	399	21	341
rna-XM_029845216.1	gene-mta3	2037	24201	no	1308	383	19	327
rna-XM_029845227.1	gene-mta3	1938	24129	no	1243	369	18	308
rna-XM_029845232.1	gene-mta3	1938	23901	no	1243	369	18	308
rna-XM_029845221.1	gene-mta3	1986	22208	no	1274	381	19	312
rna-XM_029845343.1	gene-LOC101074752	1281	2542	yes	816	217	22	226
rna-XM_003977177.3	gene-LOC101074534	348	1647	yes	223	54	2	69
rna-XM_003977176.3	gene-pigf	660	1836	yes	433	87	9	131
rna-XM_003977175.3	gene-cript	306	1356	yes	201	60	4	41
rna-XM_003977180.3	gene-LOC101075416	693	2284	yes	449	129	13	102
rna-XM_003977179.3	gene-msh2	2814	4453	yes	1777	533	35	469
rna-XM_029845455.1	gene-LOC115251814	504	2676	yes	328	77	9	90
rna-XM_029845450.1	gene-LOC115251814	504	2671	no	328	77	9	90
rna-XM_029845274.1	gene-LOC105418375	1443	17500	no	932	221	33	257
rna-XM_029845271.1	gene-LOC105418375	1584	17500	no	1026	244	36	278
rna-XM_029845263.1	gene-LOC105418375	1647	17500	yes	1069	250	37	291
rna-XM_029844046.1	gene-LOC115251505	1200	10431	no	765	205	5	225
rna-XM_029844032.1	gene-LOC115251505	1317	10430	no	834	232	8	243
rna-XM_029844009.1	gene-LOC115251505	1347	10430	yes	855	236	8	248
rna-XM_029844054.1	gene-LOC115251505	1185	10429	no	755	202	5	223
rna-XM_029844023.1	gene-LOC115251505	1332	10428	no	844	235	8	245
rna-XM_029844015.1	gene-LOC115251505	1332	10427	no	845	233	8	246
rna-XM_029844040.1	gene-LOC115251505	1296	10427	no	828	213	8	247
rna-XM_029844057.1	gene-LOC115251519	936	22137	yes	600	179	18	139
rna-XM_029844063.1	gene-LOC115251519	873	11329	no	558	173	17	125
rna-XM_029844075.1	gene-LOC101074457	738	8855	no	481	136	10	111
rna-XM_029844070.1	gene-LOC101074457	741	8851	yes	483	137	10	111
rna-XM_029841343.1	gene-LOC101064822	3405	7869	yes	2216	455	16	718
rna-XM_029841348.1	gene-LOC101061925	3516	13068	yes	2273	564	27	652
rna-XM_029850645.1	gene-LOC101070177	3087	4508	no	1918	632	44	493
rna-XM_029850641.1	gene-LOC101070177	3096	4507	yes	1923	634	44	495
rna-XM_029850649.1	gene-LOC101070177	2577	3843	no	1596	532	32	417
rna-XM_029850719.1	gene-LOC105419831	1206	7016	no	753	261	13	179
rna-XM_029850709.1	gene-LOC105419831	1311	7015	yes	818	282	16	195
rna-XM_029850804.1	gene-LOC115253276	417	3072	yes	260	84	6	67
rna-XM_029850626.1	gene-LOC101065633	3174	10997	yes	1974	661	44	495
rna-XM_011620962.2	gene-LOC101065633	3174	5871	no	1974	661	44	495
rna-XM_029850631.1	gene-LOC101065633	3093	5871	no	1922	647	43	481
rna-XM_029850629.1	gene-LOC101065633	3165	5871	no	1969	659	44	493
rna-XM_029850617.1	gene-LOC101065633	3174	5871	no	1974	661	44	495
rna-XM_029850656.1	gene-LOC101069946	2745	11181	yes	1762	473	16	494
rna-XM_029850763.1	gene-LOC115253273	1155	1591	yes	729	219	13	194
rna-XM_011620095.2	gene-LOC101076851	1287	3509	yes	805	260	8	214
rna-XM_003978723.3	gene-polr3e	2067	7023	yes	1332	390	23	322
rna-XM_029850670.1	gene-eef2k	2199	10975	no	1423	427	21	328
rna-XM_029850680.1	gene-eef2k	2145	10975	no	1389	418	21	317
rna-XM_029850676.1	gene-eef2k	2196	10975	no	1421	426	21	328
rna-XM_029850664.1	gene-eef2k	2199	10975	yes	1423	427	21	328
rna-XM_003979283.3	gene-LOC101072218	1266	2199	yes	814	204	14	234
rna-XM_029850741.1	gene-LOC101067140	1254	9378	yes	800	260	25	169
rna-XM_029850746.1	gene-LOC101067140	1200	7415	no	765	254	25	156
rna-XM_029850751.1	gene-LOC101067140	1020	5747	no	655	212	21	132
rna-XM_029850754.1	gene-LOC101067140	1020	5747	no	655	212	21	132
rna-XM_029832961.1	gene-timp2	663	5610	yes	433	118	13	99
rna-NM_001037951.1	gene-timp2	663	4013	no	433	118	13	99
rna-XM_029850779.1	gene-sfxn2	963	3286	no	633	146	21	163
rna-XM_003978138.3	gene-sfxn2	963	4562	yes	633	146	21	163
rna-XM_011619460.2	gene-sfxn2	963	3299	no	633	146	21	163
rna-XM_003978137.3	gene-arl3	549	2529	yes	344	110	16	79
rna-XM_003978136.3	gene-trim8	1773	7385	yes	1135	320	15	303
rna-XM_011619459.2	gene-LOC105418790	717	2667	no	460	132	5	120
rna-XM_011619458.2	gene-LOC105418790	720	2665	yes	462	132	5	121
rna-XM_011619457.2	gene-LOC101070858	690	2887	no	423	140	2	125
rna-XM_003978155.3	gene-LOC101070858	690	2887	yes	423	140	2	125
rna-XM_029833329.1	gene-rnf157	2016	11852	no	1291	377	24	324
rna-XM_029833320.1	gene-rnf157	2115	11851	yes	1360	389	25	341
rna-XM_029833333.1	gene-rnf157	2001	10015	no	1291	367	24	319
rna-XM_029833346.1	gene-LOC115249076	1356	6981	yes	867	250	31	208
rna-XM_029843467.1	gene-LOC101070397	1293	4252	yes	822	244	31	196
rna-XM_029851385.1	gene-LOC101070168	1452	4060	yes	929	285	31	207
rna-XM_029851389.1	gene-LOC101070168	1380	4060	no	885	271	29	195
rna-XM_029851391.1	gene-LOC101070168	1377	4060	no	883	271	29	194
rna-XM_029843486.1	gene-LOC101069938	1278	2982	yes	831	236	28	183
rna-XM_003978135.3	gene-lrrc59	972	3313	no	591	234	4	143
rna-XM_011619455.2	gene-lrrc59	975	3312	yes	593	234	4	144
rna-XM_003978150.3	gene-nat9	633	1779	yes	408	137	9	79
rna-XM_003978149.3	gene-LOC101069483	1230	2099	yes	769	217	8	236
rna-XM_029836528.1	gene-LOC115249917	1965	3779	no	1277	348	11	329
rna-XM_029836523.1	gene-LOC115249917	1965	3779	yes	1277	348	11	329
rna-XM_003978134.3	gene-LOC101066013	966	2220	yes	621	164	16	165
rna-XM_003978148.3	gene-timm23	636	2120	yes	412	98	7	119
rna-XM_011619451.2	gene-LOC101065787	1047	11442	no	673	172	17	185
rna-XM_011619450.2	gene-LOC101065787	1050	11442	yes	675	172	17	186
rna-XM_029840380.1	gene-LOC101065787	1023	11441	no	657	170	17	179
rna-XM_011619452.2	gene-LOC101065787	1026	11441	no	659	170	17	180
rna-XM_029840387.1	gene-LOC101065787	885	9275	no	569	138	15	163
rna-XM_003978133.3	gene-LOC101065787	951	9310	no	612	157	16	166
rna-XM_003978147.3	gene-LOC101069021	1035	5898	yes	675	199	10	151
rna-XM_011619449.2	gene-bicral	2133	5623	yes	1357	339	18	419
rna-XM_029844179.1	gene-bicral	2133	5386	no	1357	339	18	419
rna-XM_011619448.2	gene-bicral	2133	5385	no	1357	339	18	419
rna-XM_003978146.3	gene-LOC101068796	1215	3159	yes	779	206	13	217
rna-XM_029850452.1	gene-LOC101065558	1134	5458	yes	722	221	21	170
rna-XM_003978132.3	gene-LOC101065558	1134	5454	no	722	221	21	170
rna-XM_029850114.1	gene-rgs9	1923	10401	no	1235	353	32	303
rna-XM_029850084.1	gene-rgs9	1986	10405	yes	1276	365	33	312
rna-XM_029850059.1	gene-rgs9	1986	10400	no	1276	365	33	312
rna-XM_029850155.1	gene-rgs9	1854	10400	no	1188	343	27	296
rna-XM_029850018.1	gene-rgs9	1986	10399	no	1276	365	33	312
rna-XM_029850215.1	gene-rgs9	1488	8857	no	966	290	24	208
rna-XM_029849872.1	gene-LOC101068341	4170	24289	no	2689	711	55	715
rna-XM_029849954.1	gene-LOC101068341	3090	23446	no	2005	497	49	539
rna-XM_011619462.2	gene-LOC101068341	4170	25423	yes	2689	711	55	715
rna-XM_029845031.1	gene-LOC115251707	1011	2053	yes	639	149	6	217
rna-XM_011619447.2	gene-LOC105418788	1143	2271	yes	740	180	14	209
rna-XM_029845024.1	gene-LOC105418788	1143	2254	no	740	180	14	209
rna-XM_011619446.2	gene-kif19	3027	16039	yes	1895	601	43	488
rna-XM_029841427.1	gene-ttyh2	1506	19053	no	951	283	16	256
rna-XM_029841421.1	gene-ttyh2	1605	19053	no	1017	299	17	272
rna-XM_029841415.1	gene-ttyh2	1632	19053	yes	1033	307	18	274
rna-XM_029844260.1	gene-cdc42ep4	996	10082	yes	650	173	8	165
rna-XM_029842552.1	gene-tekt3	1464	3351	yes	912	317	18	217
rna-XM_029844558.1	gene-pmp22	474	6320	yes	307	71	16	80
rna-XM_003961014.3	gene-LOC101064080	1206	15215	yes	774	223	22	187
rna-XM_011603138.2	gene-LOC101068124	1413	16207	yes	897	233	16	267
rna-XM_003961013.2	gene-LOC101063855	1131	19555	yes	716	199	18	198
rna-XM_029845766.1	gene-LOC101067895	2118	4399	yes	1343	417	28	330
rna-XM_011602711.2	gene-LOC101067663	2754	4927	yes	1770	562	25	397
rna-XM_011602758.2	gene-LOC101067663	2742	4927	no	1762	562	25	393
rna-XM_003961012.3	gene-LOC101063632	2445	12412	yes	1566	485	24	370
rna-XM_029845771.1	gene-LOC101067437	1299	4444	no	825	249	27	198
rna-XM_003961027.3	gene-LOC101067437	1299	4444	yes	825	249	27	198
rna-XM_029845740.1	gene-LOC101063107	4239	13371	no	2825	410	30	974
rna-XM_003961010.3	gene-LOC101063107	4347	13371	yes	2894	427	30	996
rna-XM_003961008.3	gene-LOC101062884	1839	3778	yes	1192	346	33	268
rna-XM_011602629.2	gene-LOC101062884	1839	3752	no	1192	346	33	268
rna-XM_003961007.3	gene-LOC101062666	213	748	yes	137	42	4	30
rna-XM_003961006.3	gene-tmem101	768	2768	yes	489	133	16	130
rna-XM_003961005.3	gene-lsm12	591	4632	yes	384	110	11	86
rna-XM_003961004.3	gene-g6pc3	1008	3198	yes	646	156	20	186
rna-XM_029848828.1	gene-tanc2	6381	98593	no	4102	1094	80	1105
rna-XM_029848837.1	gene-tanc2	6141	98593	no	3947	1057	75	1062
rna-XM_029848829.1	gene-tanc2	6258	98593	no	4021	1076	76	1085
rna-XM_029848825.1	gene-tanc2	6438	98593	no	4142	1100	80	1116
rna-XM_029848816.1	gene-tanc2	6348	63605	no	4078	1080	76	1114
rna-XM_029848811.1	gene-tanc2	6465	63605	no	4152	1099	77	1137
rna-XM_029848807.1	gene-tanc2	6528	63605	no	4199	1104	80	1145
rna-XM_029848801.1	gene-tanc2	6576	63605	no	4230	1111	81	1154
rna-XM_029848795.1	gene-tanc2	6606	63605	no	4247	1117	81	1161
rna-XM_029848793.1	gene-tanc2	6615	63605	no	4256	1117	81	1161
rna-XM_029848788.1	gene-tanc2	6645	63605	yes	4273	1123	81	1168
rna-XM_029848842.1	gene-tanc2	6057	45523	no	3891	1043	76	1047
rna-XM_029848833.1	gene-tanc2	6174	45523	no	3965	1062	77	1070
rna-XM_011618085.2	gene-cntd1	876	3132	yes	560	168	16	132
rna-XM_003961003.3	gene-LOC101061764	300	1423	yes	197	52	5	46
rna-XM_011617375.2	gene-wnk4	4353	30267	no	2831	757	52	713
rna-XM_011616884.2	gene-wnk4	4473	30266	yes	2907	777	55	734
rna-XM_029850413.1	gene-wnk4	3879	29360	no	2521	673	48	637
rna-XM_029850410.1	gene-wnk4	3879	29357	no	2521	673	48	637
rna-XM_003961002.3	gene-vps25	525	2813	yes	339	116	4	66
rna-XM_011614430.2	gene-LOC101066549	2802	15388	no	1821	516	31	434
rna-XM_029850423.1	gene-LOC101066549	2919	15383	yes	1895	541	32	451
rna-XM_003961024.3	gene-LOC101066549	2265	9516	no	1470	412	25	358
rna-XM_003961023.3	gene-mfsd13a	1533	5480	yes	978	263	22	270
rna-XM_011612743.2	gene-LOC101066092	2652	21797	yes	1680	487	31	454
rna-XM_003961021.3	gene-mrpl43	462	1631	yes	299	75	16	72
rna-XM_011609560.2	gene-twnk	2148	4018	no	1380	417	33	318
rna-XM_003961020.3	gene-twnk	2184	3887	yes	1404	422	33	325
rna-XM_011605809.2	gene-lzts2	2058	16658	yes	1298	417	23	320
rna-XM_011606855.2	gene-lzts2	2058	16651	no	1298	417	23	320
rna-XM_029843586.1	gene-lzts2	2058	7798	no	1298	417	23	320
rna-XM_011608328.2	gene-lzts2	2058	5296	no	1298	417	23	320
rna-XM_029843325.1	gene-pdzd7	2658	6068	no	1688	461	36	473
rna-XM_029843372.1	gene-pdzd7	2658	6068	no	1688	461	36	473
rna-XM_029843270.1	gene-pdzd7	2658	6068	yes	1688	461	36	473
rna-XM_029843425.1	gene-pdzd7	2658	5378	no	1688	461	36	473
rna-XM_011605026.2	gene-prxl2a	657	2105	yes	416	119	7	115
rna-XM_011603110.2	gene-LOC105416246	1023	1938	no	657	192	2	172
rna-XM_011602603.2	gene-LOC105416246	1026	1938	yes	659	193	2	172
rna-XM_011603602.2	gene-LOC105416246	912	1563	no	587	168	2	155
rna-XM_011604068.2	gene-LOC105416246	897	1532	no	577	168	2	150
rna-XM_029843567.1	gene-LOC115251409	396	4314	yes	251	70	10	65
rna-XM_029843143.1	gene-LOC101061091	5286	10280	yes	3458	932	126	770
rna-XM_029843187.1	gene-LOC101061091	5244	10280	no	3431	923	126	764
rna-XM_029843219.1	gene-LOC101061091	4473	9012	no	2925	793	113	642
rna-XM_003961017.3	gene-cd79b	597	2655	yes	383	111	10	93
rna-XM_029844072.1	gene-LOC115251511	543	2655	yes	347	110	5	81
rna-XM_003961016.3	gene-LOC101064747	543	1016	yes	348	109	5	81
rna-XM_029839052.1	gene-plekhm1	3216	9197	yes	2027	605	35	549
rna-XM_029839063.1	gene-LOC101078580	1272	6889	yes	820	243	11	198
rna-XM_029839068.1	gene-LOC101078580	1215	6889	no	785	230	11	189
rna-XM_029839075.1	gene-LOC101078580	1134	5459	no	732	212	10	180
rna-XM_003977228.3	gene-LOC101070251	1206	4195	yes	788	215	13	190
rna-XM_029846807.1	gene-lasp1	687	3972	yes	456	133	7	91
rna-XM_029846813.1	gene-lasp1	579	3924	no	383	109	6	81
rna-XM_029848740.1	gene-LOC101070481	1443	8008	yes	932	253	20	238
rna-XM_029832881.1	gene-LOC101074102	600	2592	yes	387	115	6	92
rna-XM_029832872.1	gene-LOC101074102	600	1497	no	387	115	6	92
rna-XM_029832851.1	gene-tectb	1014	2164	yes	658	178	21	157
rna-XM_003961051.3	gene-LOC101073658	3153	62857	no	2062	579	70	442
rna-XM_029832804.1	gene-LOC101073658	3168	62857	yes	2072	582	70	444
rna-XM_029832809.1	gene-LOC101073658	3168	16788	no	2072	582	70	444
rna-XM_029832814.1	gene-LOC101073658	3156	16743	no	2059	583	70	444
rna-XM_029832813.1	gene-LOC101073658	3156	16733	no	2059	583	70	444
rna-XM_029832811.1	gene-LOC101073658	3156	16083	no	2059	583	70	444
rna-XM_029832819.1	gene-LOC101073658	2982	8912	no	1946	557	66	413
rna-XM_029832838.1	gene-acsl5	2052	6174	yes	1321	354	38	339
rna-XM_029832827.1	gene-LOC115248881	2163	5245	yes	1381	436	22	324
rna-XM_029832893.1	gene-LOC115248888	510	3966	yes	326	101	11	72
rna-XM_029832895.1	gene-LOC115248888	507	3966	no	324	100	11	72
rna-XM_029832898.1	gene-LOC115248888	489	1475	no	312	96	11	70
rna-XM_029832746.1	gene-LOC101073197	11931	68673	no	7665	2140	149	1977
rna-XM_029832719.1	gene-LOC101073197	11958	57561	no	7683	2149	149	1977
rna-XM_029832725.1	gene-LOC101073197	11949	57561	no	7677	2147	149	1976
rna-XM_029832774.1	gene-LOC101073197	11475	46403	no	7378	2054	145	1898
rna-XM_029832780.1	gene-LOC101073197	11412	46403	no	7336	2044	144	1888
rna-XM_029832784.1	gene-LOC101073197	10857	40644	no	6985	1943	142	1787
rna-XM_029832670.1	gene-LOC101073197	12012	46401	no	7714	2165	149	1984
rna-XM_029832714.1	gene-LOC101073197	11967	46401	no	7683	2157	148	1979
rna-XM_029832661.1	gene-LOC101073197	12015	46401	yes	7715	2166	149	1985
rna-XM_029832752.1	gene-LOC101073197	11817	46401	no	7586	2138	147	1946
rna-XM_029832748.1	gene-LOC101073197	11931	46401	no	7663	2151	148	1969
rna-XM_029832756.1	gene-LOC101073197	11733	46401	no	7534	2123	146	1930
rna-XM_029832764.1	gene-LOC101073197	11649	46401	no	7480	2106	146	1917
rna-XM_029832722.1	gene-LOC101073197	11952	46401	no	7673	2156	148	1975
rna-XM_029832695.1	gene-LOC101073197	11988	46401	no	7696	2160	149	1983
rna-XM_029832790.1	gene-LOC101073197	5973	46401	no	3786	1102	74	1011
rna-XM_029832712.1	gene-LOC101073197	11970	46401	no	7684	2158	148	1980
rna-XM_029832679.1	gene-LOC101073197	12000	46401	no	7706	2163	149	1982
rna-XM_029832720.1	gene-LOC101073197	11955	46401	no	7675	2155	148	1977
rna-XM_029832706.1	gene-LOC101073197	11976	46401	no	7691	2155	147	1983
rna-XM_029832738.1	gene-LOC101073197	11931	46401	no	7660	2147	146	1978
rna-XM_029832699.1	gene-LOC101073197	11979	46401	no	7692	2156	147	1984
rna-XM_029832718.1	gene-LOC101073197	11964	46401	no	7683	2153	147	1981
rna-XM_029832684.1	gene-LOC101073197	11991	46401	no	7698	2162	149	1982
rna-XM_029832665.1	gene-LOC101073197	12012	46401	no	7713	2165	149	1985
rna-XM_029832730.1	gene-LOC101073197	11931	46401	no	7659	2147	146	1979
rna-XM_029832688.1	gene-LOC101073197	11988	46401	no	7696	2161	149	1982
rna-XM_029832791.1	gene-LOC101073197	5928	46130	no	3755	1094	73	1006
rna-XM_029832793.1	gene-LOC101073197	5892	46130	no	3732	1084	71	1005
rna-XM_029832796.1	gene-LOC101073197	5865	46130	no	3713	1079	71	1002
rna-XM_029832742.1	gene-LOC101073197	11931	38995	no	7664	2143	149	1975
rna-XM_003961050.3	gene-LOC101073428	729	1239	yes	484	121	7	117
rna-XM_003961049.3	gene-g6pc	1077	2454	yes	695	177	16	189
rna-XM_003961048.3	gene-LOC101072756	1062	2982	yes	673	180	8	201
rna-XM_029831900.1	gene-psme3	768	2563	no	494	147	23	104
rna-XM_003961039.3	gene-psme3	771	2563	yes	496	148	23	104
rna-XM_011604952.2	gene-LOC101072529	3165	7835	yes	2019	578	23	545
rna-XM_011605003.2	gene-LOC101072529	3162	7835	no	2017	577	23	545
rna-XM_011604887.2	gene-LOC101072304	735	3178	yes	471	126	19	119
rna-XM_011604818.2	gene-LOC105416559	609	2263	yes	385	114	6	104
rna-XM_029840920.1	gene-LOC101071863	792	7058	yes	506	152	7	127
rna-XM_029840931.1	gene-LOC101071863	684	5485	no	439	123	6	116
rna-XM_003961038.3	gene-sost	633	6739	yes	401	121	8	103
rna-XM_003961037.3	gene-meox1	762	7060	yes	488	149	3	122
rna-XM_029840897.1	gene-etv4	1311	17350	no	854	223	2	232
rna-XM_029840892.1	gene-etv4	1572	17646	yes	1038	274	6	254
rna-XM_011604405.2	gene-LOC101071413	3543	6657	yes	2274	652	60	557
rna-XM_029840904.1	gene-LOC101071184	1230	47654	yes	801	234	20	175
rna-XM_029840911.1	gene-LOC101071184	1230	39759	no	801	234	20	175
rna-XM_011604285.2	gene-LOC101069879	462	2824	no	296	75	11	80
rna-XM_003961036.3	gene-LOC101069879	462	2824	yes	296	75	11	80
rna-XM_011604231.2	gene-LOC101069879	462	2824	no	296	75	11	80
rna-XM_003961035.2	gene-LOC101069649	1068	13275	yes	697	191	14	166
rna-XM_029839340.1	gene-LOC115250519	666	1633	yes	420	157	10	79
rna-XM_003961034.3	gene-LOC101069418	2235	9251	yes	1432	428	57	318
rna-XM_029839295.1	gene-LOC101069186	1269	5024	yes	796	247	27	199
rna-XM_003961033.3	gene-LOC101069186	1269	5023	no	796	247	27	199
rna-XM_003961032.2	gene-cdk5r1	927	3538	yes	594	168	11	154
rna-XM_029839323.1	gene-cdk5r1	927	3081	no	594	168	11	154
rna-XM_029839331.1	gene-cdk5r1	909	2652	no	584	164	10	151
rna-XM_029839285.1	gene-myo1d	3015	79770	no	1928	598	52	437
rna-XM_029839281.1	gene-myo1d	3057	76517	yes	1953	597	52	455
rna-XM_011612714.2	gene-LOC101074617	1167	2295	yes	742	213	9	203
rna-XM_011612764.2	gene-LOC101074617	1167	2287	no	742	213	9	203
rna-XM_011612627.2	gene-LOC101074391	1227	4574	yes	793	233	24	177
rna-XM_029843659.1	gene-tbkbp1	1917	27896	yes	1231	359	24	303
rna-XM_003961084.3	gene-tbx21	1851	10350	yes	1211	319	13	308
rna-XM_011612544.2	gene-tbx21	1698	10350	no	1105	295	13	285
rna-XM_003961083.3	gene-osbpl7	2562	9497	no	1655	462	34	411
rna-XM_029838484.1	gene-osbpl7	2589	9497	yes	1672	464	35	418
rna-XM_003961132.3	gene-mrpl10	762	1719	yes	490	135	11	126
rna-XM_003961131.3	gene-pnpo	825	2726	yes	531	166	11	117
rna-XM_011612218.2	gene-prr15l	327	3426	yes	213	69	2	43
rna-XM_003961082.3	gene-cdk5rap3	1518	3886	yes	976	294	34	214
rna-XM_029838540.1	gene-nfe2l1	2469	7239	yes	1587	453	33	396
rna-XM_011612079.2	gene-nfe2l1	2436	7028	no	1567	445	30	394
rna-XM_003961081.3	gene-nfe2l1	2469	7026	no	1587	453	33	396
rna-XM_011611957.2	gene-cbx1	603	2791	yes	395	124	4	80
rna-XM_029838556.1	gene-snx11	1560	3446	yes	1003	306	15	236
rna-XM_003961129.3	gene-snx11	1560	3445	no	1003	310	16	231
rna-XM_003961128.3	gene-skap1	1071	24040	yes	692	224	18	137
rna-XM_003961127.3	gene-hoxb1	843	2649	no	537	173	3	130
rna-XM_029840432.1	gene-hoxb1	888	2649	yes	570	157	2	159
rna-XM_003961126.3	gene-LOC101072603	822	4026	yes	528	161	5	128
rna-XM_029840446.1	gene-hoxb5	726	7214	no	468	133	7	118
rna-XM_003961079.3	gene-hoxb5	843	2238	yes	544	154	7	138
rna-XM_003961078.3	gene-LOC101079641	702	2611	yes	456	132	8	106
rna-XM_029840398.1	gene-ttll6	2307	8025	yes	1461	481	25	340
rna-XM_029840403.1	gene-ttll6	2307	8025	no	1461	481	25	340
rna-XM_029840406.1	gene-ttll6	2094	5597	no	1324	437	24	309
rna-XM_029840421.1	gene-ttll6	1992	5042	no	1255	417	23	297
rna-XM_029840412.1	gene-ttll6	2016	5012	no	1272	421	24	299
rna-XM_029840428.1	gene-ttll6	1953	7190	no	1238	417	25	273
rna-XM_003961124.3	gene-calcoco2	1701	5090	yes	1092	391	17	201
rna-XM_029844474.1	gene-snf8	777	2532	no	498	155	11	113
rna-XM_003961077.3	gene-snf8	777	2532	yes	498	155	11	113
rna-XM_011611128.2	gene-msl1	1404	4464	yes	908	270	16	210
rna-XM_003961076.3	gene-msl1	1362	4464	no	878	264	16	204
rna-XM_029844308.1	gene-msl1	1404	4438	no	908	270	16	210
rna-XM_011611177.2	gene-msl1	1404	4277	no	908	270	16	210
rna-XM_029844562.1	gene-chmp2a	663	1902	no	435	138	12	78
rna-XM_003961075.3	gene-chmp2a	663	2186	yes	435	138	12	78
rna-XM_003961123.3	gene-mrm1	1128	1675	yes	707	219	10	192
rna-XM_029836831.1	gene-LOC101071710	3810	10804	yes	2423	595	28	764
rna-XM_029836839.1	gene-LOC101071710	3771	10804	no	2399	587	27	758
rna-XM_011610865.2	gene-srcap	12444	26071	yes	8053	2106	120	2165
rna-XM_011610912.2	gene-srcap	12366	26071	no	8002	2094	120	2150
rna-XM_003961074.3	gene-stx4	894	4292	yes	576	184	22	112
rna-XM_029835538.1	gene-LOC101071255	2289	28834	no	1474	412	29	374
rna-XM_029835433.1	gene-LOC101071255	2298	14066	yes	1477	416	30	375
rna-XM_029843615.1	gene-LOC115251413	690	3674	yes	442	103	9	136
rna-XM_029835878.1	gene-tex47	717	2509	yes	455	142	12	108
rna-XM_029835918.1	gene-tex47	699	1888	no	440	144	11	104
rna-XM_003961073.3	gene-LOC101078512	1035	6512	yes	649	220	10	156
rna-XM_003961072.3	gene-armc7	576	2047	yes	368	121	8	79
rna-XM_003961119.3	gene-LOC101070796	1950	12125	yes	1255	345	40	310
rna-XM_029835733.1	gene-chad	1092	3606	yes	690	208	12	182
rna-XM_011610341.2	gene-chad	1092	3605	no	690	208	12	182
rna-XM_011610264.2	gene-LOC101070568	2190	4725	yes	1379	409	31	371
rna-XM_003961118.3	gene-slc16a5	1608	8602	yes	1044	237	21	306
rna-XM_011610198.2	gene-slc16a5	1608	8408	no	1044	237	21	306
rna-XM_003961071.3	gene-kctd2	810	5624	yes	522	142	13	133
