transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_023953771.1	gene-aplf	1110	8524	no	697	204	5	204
rna-XM_023953761.1	gene-aplf	1233	8524	yes	777	234	5	217
rna-XM_023953803.1	gene-fbxo48	465	1471	no	299	83	3	80
rna-XM_023953796.1	gene-fbxo48	465	1471	yes	299	83	3	80
rna-XM_023953812.1	gene-fbxo48	423	1471	no	269	78	3	73
rna-XM_023953818.1	gene-LOC101161947	489	6513	yes	318	92	9	70
rna-XM_004085379.3	gene-map1lc3c	387	1512	yes	253	73	8	53
rna-XM_023953825.1	gene-LOC101155981	2343	20214	yes	1499	425	19	400
rna-XM_023953824.1	gene-LOC101155981	2343	20128	no	1499	425	19	400
rna-XM_011494206.3	gene-LOC101168599	1401	3458	yes	907	242	22	230
rna-XM_023953826.1	gene-acaa1	1275	5207	yes	801	200	15	259
rna-XM_023953827.1	gene-LOC101155741	837	21651	yes	538	152	14	133
rna-XM_023953828.1	gene-LOC101155741	828	11656	no	531	147	14	136
rna-XM_023953829.1	gene-LOC110014047	1467	12500	yes	935	256	17	259
rna-XM_011493311.3	gene-LOC101174559	1506	39105	yes	967	276	25	238
rna-XM_011493313.3	gene-LOC101174559	1377	39102	no	887	250	25	215
rna-XM_023953839.1	gene-hpgd	786	8116	yes	511	129	17	129
rna-XM_023953830.1	gene-wdr17	3834	21837	yes	2452	693	59	630
rna-XM_023953831.1	gene-wdr17	3834	21819	no	2452	693	59	630
rna-XM_023953832.1	gene-wdr17	3834	21817	no	2452	693	59	630
rna-XM_023953833.1	gene-wdr17	3258	15174	no	2097	578	47	536
rna-XM_020700139.2	gene-LOC101157589	645	2160	no	423	133	4	85
rna-XM_020700140.2	gene-LOC101157589	645	2026	no	423	133	4	85
rna-XM_020700138.2	gene-LOC101157589	714	1698	yes	468	143	5	98
rna-XM_023953849.1	gene-LOC101157104	753	15306	yes	483	151	13	106
rna-XM_023953851.1	gene-LOC101157342	1719	11274	yes	1104	328	20	267
rna-XM_023953861.1	gene-LOC101169996	3240	45358	yes	2037	605	12	586
rna-XM_023953873.1	gene-LOC101169996	3237	45358	no	2035	604	12	586
rna-XM_023953857.1	gene-LOC101169996	3240	44524	no	2037	605	12	586
rna-XM_023953866.1	gene-LOC101169996	3240	40929	no	2037	605	12	586
rna-XM_023953869.1	gene-LOC101169996	3240	40159	no	2037	605	12	586
rna-XM_023953855.1	gene-LOC101169996	3240	35512	no	2037	605	12	586
rna-XM_011492905.3	gene-LOC101169757	999	6597	yes	647	190	12	150
rna-XM_004084618.4	gene-LOC101169757	999	6047	no	647	190	12	150
rna-XM_023953883.1	gene-patl1	2328	8423	yes	1479	416	22	411
rna-XM_004084616.4	gene-LOC101169262	1092	5795	yes	708	205	9	170
rna-XM_011492902.2	gene-LOC105357655	1371	2937	yes	873	283	14	201
rna-XM_004084615.4	gene-LOC101169013	1062	7055	yes	673	203	16	170
rna-XM_023953853.1	gene-LOC110015914	5076	23825	yes	3285	1059	83	649
rna-XM_023953854.1	gene-LOC110015914	5076	18436	no	3285	1059	83	649
rna-XM_020702381.2	gene-LOC101158745	582	5475	yes	362	107	3	110
rna-XM_020702408.2	gene-LOC101158745	582	5475	no	362	107	3	110
rna-XM_020702453.2	gene-LOC101158745	525	5459	no	325	96	3	101
rna-XM_011488760.3	gene-LOC101158994	2013	8091	yes	1272	349	22	370
rna-XM_023953963.1	gene-LOC101158084	921	4505	yes	593	176	14	138
rna-XM_023953945.1	gene-LOC101159242	2349	20098	yes	1508	372	16	453
rna-XM_023953932.1	gene-LOC101159242	2349	19519	no	1508	372	16	453
rna-XM_023953939.1	gene-LOC101159242	2349	19519	no	1508	372	16	453
rna-XM_011475014.3	gene-LOC101159485	1701	15234	yes	1088	287	30	296
rna-XM_011476048.3	gene-LOC101159485	1701	15234	no	1088	287	30	296
rna-XM_011475567.3	gene-LOC101159485	1701	15234	no	1088	287	30	296
rna-XM_023953930.1	gene-LOC101159722	3192	15790	yes	2055	513	67	557
rna-XM_023953974.1	gene-pold4	327	2945	yes	200	78	3	46
rna-XM_023953972.1	gene-pold4	327	2944	no	200	78	3	46
rna-XM_023953981.1	gene-p2rx3	1215	12912	yes	806	217	34	158
rna-XM_023956202.1	gene-LOC101159968	3759	7143	yes	2341	793	30	595
rna-XM_004065471.4	gene-LOC101155571	375	438	yes	244	60	7	64
rna-XM_004065472.4	gene-LOC101155824	312	450	yes	200	45	6	61
rna-XM_020706802.2	gene-LOC110015784	609	846	yes	402	87	2	118
rna-XM_023957840.1	gene-LOC111947787	1152	15208	yes	748	220	14	170
rna-XM_011493434.3	gene-LOC105357959	387	454	yes	242	58	5	82
rna-XM_023959082.1	gene-LOC101159638	411	21525	yes	260	69	7	75
rna-XM_004085048.4	gene-LOC101158913	375	480	yes	244	60	7	64
rna-XM_023959610.1	gene-LOC101159884	312	500	yes	200	45	6	61
rna-XM_004065473.4	gene-LOC101156060	609	902	yes	402	87	2	118
rna-XM_011474969.3	gene-LOC105354089	1233	12599	yes	784	251	19	179
rna-XM_023959730.1	gene-LOC105354081	246	5232	yes	155	38	6	47
rna-XM_023957651.1	gene-LOC105356696	1479	15462	yes	946	276	8	249
rna-XM_023957698.1	gene-LOC105356696	1479	15287	no	946	276	8	249
rna-XM_023957674.1	gene-LOC105356696	1479	15020	no	946	276	8	249
rna-XM_011474842.3	gene-LOC101160709	1809	6714	yes	1140	334	25	310
rna-XM_011489086.3	gene-LOC101160958	1200	6005	yes	773	185	14	228
rna-XM_023958210.1	gene-LOC111947865	1056	3258	yes	674	190	4	188
rna-XM_004065474.4	gene-LOC101156301	1233	7384	yes	797	214	17	205
rna-XM_011489150.3	gene-LOC101161214	2688	11219	yes	1715	470	46	457
rna-XM_023958047.1	gene-hoga1	1218	7363	yes	771	202	16	229
rna-XM_004065475.4	gene-LOC101156553	447	29065	yes	285	84	0	78
rna-XM_023956803.1	gene-lcor	2052	84440	yes	1317	384	20	331
rna-XM_023955750.1	gene-LOC101161946	4695	51953	yes	2967	874	52	802
rna-XM_023957570.1	gene-LOC101156795	1545	8565	no	967	293	11	274
rna-XM_023957552.1	gene-LOC101156795	1548	8565	yes	969	294	11	274
rna-XM_020706729.2	gene-LOC101162186	819	3979	no	512	158	6	143
rna-XM_020706726.2	gene-LOC101162186	849	3978	yes	532	162	6	149
rna-XM_023956595.1	gene-LOC101175375	2166	5680	yes	1419	409	20	318
rna-XM_023956997.1	gene-LOC101162422	2019	16971	yes	1316	316	18	369
rna-XM_020706576.2	gene-LOC101157032	2772	20731	yes	1783	508	53	428
rna-XM_004065477.4	gene-LOC101157032	2760	20008	no	1775	506	53	426
rna-XM_023955925.1	gene-LOC101162657	4578	27944	yes	2981	737	55	805
rna-XM_023955971.1	gene-LOC101162657	4560	27944	no	2970	733	55	802
rna-XM_023956009.1	gene-LOC101162657	4206	27478	no	2738	678	46	744
rna-XM_023955939.1	gene-LOC101162657	4566	27452	no	2974	738	55	799
rna-XM_023956505.1	gene-LOC105356798	2478	6113	yes	1556	485	18	419
rna-XM_020706599.2	gene-lgsn	2061	4497	yes	1335	361	34	331
rna-XM_023956754.1	gene-lgsn	1953	4496	no	1264	338	34	317
rna-XM_004065576.4	gene-lgsn	1998	4496	no	1292	348	34	324
rna-XM_004065479.4	gene-ptp4a1	522	6265	yes	334	101	9	78
rna-XM_023956625.1	gene-LOC101163140	2097	16863	yes	1359	239	14	485
rna-XM_011473733.2	gene-hyls1	1032	5311	yes	662	208	7	155
rna-XM_011473791.2	gene-hyls1	1032	5311	no	662	208	7	155
rna-XM_011473853.3	gene-hyls1	1029	5310	no	660	207	7	155
rna-XM_004065480.4	gene-hyls1	1029	5310	no	660	207	7	155
rna-XM_004065481.2	gene-mrpl4	909	4894	yes	574	167	10	158
rna-XM_023955641.1	gene-LOC105358319	6555	12505	yes	4275	1210	56	1014
rna-XM_023955872.1	gene-abcc10	4635	22914	no	2896	812	53	874
rna-XM_023955787.1	gene-abcc10	4659	22914	yes	2913	814	53	879
rna-XM_023955822.1	gene-abcc10	4659	22890	no	2913	814	53	879
rna-XM_004065482.4	gene-LOC101158414	774	1645	no	494	150	11	119
rna-XM_023958621.1	gene-LOC101158414	777	1599	yes	497	149	11	120
rna-XM_011492306.3	gene-sp2	1812	14321	no	1176	248	32	356
rna-XM_011491868.3	gene-sp2	1815	14321	no	1178	249	32	356
rna-XM_023957220.1	gene-sp2	1794	14224	no	1163	244	32	355
rna-XM_011491405.3	gene-sp2	1908	13413	no	1238	264	33	373
rna-XM_011490439.3	gene-sp2	1911	13412	yes	1240	265	33	373
rna-XM_023956464.1	gene-LOC105356822	2508	3093	yes	1611	585	37	275
rna-XM_023956556.1	gene-socs7	2286	19156	no	1450	381	18	437
rna-XM_023956542.1	gene-socs7	2421	19155	yes	1538	398	20	465
rna-XM_023955709.1	gene-LOC101164127	1929	23100	no	1246	315	24	344
rna-XM_023955662.1	gene-LOC101164127	5547	28618	yes	3598	1015	68	866
rna-XM_023955698.1	gene-LOC101164127	5478	27804	no	3552	1001	67	858
rna-XM_004065483.4	gene-mrpl45	948	4690	yes	607	169	20	152
rna-XM_023956256.1	gene-LOC101158915	2802	18777	yes	1807	491	48	456
rna-XM_004065485.3	gene-c1h6orf120	561	2738	yes	358	110	12	81
rna-XM_004065486.4	gene-mrpl21	588	730	yes	364	107	11	106
rna-XM_023957896.1	gene-wipf2	1332	14001	yes	860	161	8	303
rna-XM_023957515.1	gene-LOC101164620	1671	18465	yes	1075	328	20	248
rna-XM_023956951.1	gene-LOC105358244	1932	16066	no	1241	384	21	286
rna-XM_023956907.1	gene-LOC105358244	1938	16066	no	1245	384	21	288
rna-XM_023956867.1	gene-LOC105358244	2031	16065	yes	1307	399	22	303
rna-XM_023957462.1	gene-LOC111947741	1737	45561	yes	1123	346	21	247
rna-XM_023957486.1	gene-LOC111947741	1722	22097	no	1106	344	18	254
rna-XM_011485604.3	gene-LOC101164867	696	3502	yes	447	130	18	101
rna-XM_011484369.3	gene-cdc6	1791	3527	yes	1104	324	13	350
rna-XM_004065487.4	gene-cdc6	1707	3527	no	1051	308	13	335
rna-XM_020706712.2	gene-LOC101165125	870	4882	yes	554	156	1	159
rna-XM_023958531.1	gene-LOC101165125	861	4882	no	548	154	1	158
rna-XM_020706713.2	gene-LOC101165125	870	4882	no	554	156	1	159
rna-XM_004065488.4	gene-LOC101159887	1134	3293	yes	750	171	30	183
rna-XM_023956223.1	gene-nup133	3417	12143	yes	2177	636	41	563
rna-XM_023957335.1	gene-taf5l	1806	5800	yes	1152	317	13	324
rna-XM_004085049.4	gene-taf5l	1803	5799	no	1150	317	13	323
rna-XM_004085047.4	gene-capn9	2070	9107	yes	1353	414	32	271
rna-XM_011493439.3	gene-LOC101160134	609	898	yes	402	87	2	118
rna-XM_023959543.1	gene-LOC111948080	312	665	yes	200	46	6	60
rna-XM_011480631.3	gene-LOC101165374	411	535	yes	260	69	7	75
rna-XM_011479912.3	gene-LOC101160784	387	477	yes	242	58	5	82
rna-XM_004065491.4	gene-LOC101161030	609	733	yes	402	87	2	118
rna-XM_004065495.4	gene-LOC101162022	312	382	yes	200	47	6	59
rna-XM_023957743.1	gene-LOC110015796	1410	16436	yes	908	278	16	208
rna-XM_023957762.1	gene-LOC110015796	1401	16436	no	902	276	16	207
rna-XM_023958945.1	gene-LOC111947943	609	754	yes	402	88	2	117
rna-XM_004065494.4	gene-LOC101161778	312	390	yes	200	47	6	59
rna-XM_004065492.4	gene-LOC101161290	375	439	yes	244	60	7	64
rna-XM_011475568.3	gene-LOC101165618	411	530	yes	260	69	7	75
rna-XM_004065493.4	gene-LOC101161532	387	461	yes	242	58	5	82
rna-XM_004065588.4	gene-LOC101165865	1515	5728	yes	970	237	23	285
rna-XM_020706733.2	gene-LOC105356883	1830	8108	yes	1181	353	32	264
rna-XM_023957047.1	gene-LOC105356876	1926	10631	yes	1241	373	23	289
rna-XM_020706788.2	gene-LOC105354190	375	451	yes	244	60	7	64
rna-XM_023959663.1	gene-LOC101162735	312	422	yes	200	46	6	60
rna-XM_023958807.1	gene-LOC101162503	609	866	yes	402	88	2	117
rna-XM_004065496.4	gene-armc3	2340	7984	yes	1474	451	31	384
rna-XM_023954001.1	gene-LOC101162980	1155	10006	yes	743	190	29	193
rna-XM_023953992.1	gene-LOC101162980	1155	9995	no	743	190	29	193
rna-XM_004065500.4	gene-LOC101163226	627	1415	yes	399	117	7	104
rna-XM_020702949.2	gene-LOC105354256	774	4731	no	502	142	13	117
rna-XM_023954019.1	gene-LOC105354256	825	4597	yes	533	155	13	124
rna-XM_023954026.1	gene-LOC105354256	774	4481	no	502	142	13	117
rna-XM_023954032.1	gene-mgat5b	2415	161067	no	1550	457	35	373
rna-XM_023954031.1	gene-mgat5b	2418	161066	yes	1552	458	35	373
rna-XM_004065591.4	gene-LOC101166604	1152	6474	yes	749	182	9	212
rna-XM_020703061.2	gene-LOC101163463	1284	6207	yes	829	249	23	183
rna-XM_023954043.1	gene-evi5l	2541	29143	no	1620	523	36	362
rna-XM_023954039.1	gene-evi5l	2541	29143	yes	1620	523	36	362
rna-XM_023954045.1	gene-evi5l	2508	29140	no	1601	515	35	357
rna-XM_011476978.3	gene-LOC105354347	789	6061	yes	505	158	6	120
rna-XM_004065502.3	gene-LOC101163714	561	3744	yes	368	94	8	91
rna-XM_020703392.2	gene-LOC101163714	561	3562	no	368	94	8	91
rna-XM_020703310.2	gene-LOC101163714	462	3545	no	304	81	7	70
rna-XM_020703353.2	gene-LOC101163714	462	3425	no	304	81	7	70
rna-XM_004065503.4	gene-LOC101163952	1446	7477	yes	923	247	24	252
rna-XM_011477126.3	gene-LOC101164208	1773	17536	yes	1146	317	46	264
rna-XM_004065504.4	gene-LOC101164208	1770	17536	no	1144	317	46	263
rna-XM_023954089.1	gene-LOC101167096	4014	23242	no	2594	609	13	798
rna-XM_023954087.1	gene-LOC101167096	4014	23242	yes	2594	609	13	798
rna-XM_011477400.2	gene-c1h19orf67	960	3096	yes	601	197	5	157
rna-XM_004065506.4	gene-pkn1	2799	47682	no	1766	548	35	450
rna-XM_020703598.2	gene-pkn1	2820	25993	yes	1781	554	35	450
rna-XM_020703632.2	gene-pkn1	2817	25993	no	1779	553	35	450
rna-XM_020703688.2	gene-pkn1	2655	25993	no	1679	523	33	420
rna-XM_020703762.2	gene-map2k7	1272	16180	no	812	249	27	184
rna-XM_020703732.2	gene-map2k7	1320	16152	yes	844	252	30	194
rna-XM_011477718.3	gene-LOC101165201	5886	24363	yes	3715	1318	72	781
rna-XM_004065508.4	gene-LOC101165201	5865	24363	no	3703	1312	72	778
rna-XM_023954126.1	gene-LOC101165446	945	7525	yes	610	148	7	180
rna-XM_023954128.1	gene-LOC101165446	945	7525	no	610	148	7	180
rna-XM_023954129.1	gene-LOC101165446	861	7519	no	557	128	7	169
rna-XM_023954134.1	gene-LOC111947355	711	1370	yes	465	138	12	96
rna-XM_023954153.1	gene-ttc26	1674	13463	yes	1061	358	30	225
rna-XM_023954164.1	gene-ttc26	1581	13463	no	999	336	28	218
rna-XM_023954144.1	gene-LOC101167341	3708	20855	yes	2371	598	28	711
rna-XM_023954150.1	gene-LOC101167341	3609	20855	no	2307	575	25	702
rna-XM_011478025.3	gene-LOC101165692	5997	49070	yes	3788	1346	79	784
rna-XM_023954141.1	gene-LOC101165692	5979	47700	no	3777	1342	79	781
rna-XM_023954143.1	gene-LOC101165692	5964	46085	no	3767	1340	79	778
rna-XM_023954142.1	gene-LOC101165692	5934	46053	no	3747	1335	79	773
rna-XM_020702137.2	gene-cygb	585	31179	yes	387	100	6	92
rna-NM_001104768.1	gene-cygb	585	25355	no	387	100	6	92
rna-XM_011478203.3	gene-sphk1	1404	30400	yes	880	250	12	262
rna-XM_023954183.1	gene-ube2o	4086	25087	yes	2642	715	48	681
rna-XM_023954187.1	gene-ube2o	4065	23455	no	2627	711	48	679
rna-XM_020704327.2	gene-aanat	651	3594	yes	419	112	7	113
rna-NM_001104832.1	gene-aanat	609	2238	no	391	102	7	109
rna-XM_011478340.3	gene-rhbdf2	2448	37027	yes	1570	452	47	379
rna-XM_020704306.2	gene-rhbdf2	2448	33538	no	1570	452	47	379
rna-XM_020704272.2	gene-rhbdf2	2448	24190	no	1570	452	47	379
rna-XM_023954211.1	gene-acox1	1986	23808	no	1263	369	31	323
rna-XM_023954210.1	gene-acox1	1986	23808	yes	1265	366	29	326
rna-XM_004065516.3	gene-ten1	399	2658	yes	259	71	6	63
rna-XM_020704368.2	gene-ten1	372	2658	no	238	70	4	60
rna-XM_020704503.2	gene-evpl	5976	21744	no	3785	1301	99	791
rna-XM_004065517.4	gene-evpl	5982	17157	yes	3792	1303	98	789
rna-XM_023954228.1	gene-LOC110013360	1413	13637	yes	923	272	25	193
rna-XM_004065597.4	gene-LOC101168093	1236	6762	yes	807	247	26	156
rna-XM_023954241.1	gene-srp68	1779	7710	yes	1127	365	25	262
rna-XM_004065520.4	gene-polg2	1344	3888	yes	841	263	18	222
rna-XM_023954239.1	gene-LOC101167926	1896	10238	yes	1234	346	33	283
rna-XM_011478969.3	gene-LOC105353535	609	778	yes	402	85	2	120
rna-XM_004065522.4	gene-LOC101168675	312	1112	yes	199	47	6	60
rna-XM_011479125.3	gene-LOC101168428	375	482	yes	244	60	7	64
rna-XM_004065524.3	gene-LOC101169170	387	469	yes	242	59	5	81
rna-XM_023954394.1	gene-LOC101168343	411	451	yes	260	69	7	75
rna-XM_011479385.3	gene-LOC101168595	1722	13517	no	1077	321	21	303
rna-XM_011479345.3	gene-LOC101168595	1824	13516	yes	1137	341	22	324
rna-XM_023954275.1	gene-LOC101168840	3336	29028	no	2128	602	23	583
rna-XM_023954269.1	gene-LOC101168840	3339	29028	yes	2130	602	23	584
rna-XM_004065525.4	gene-rrp36	1026	7962	yes	650	254	12	110
rna-XM_004065601.4	gene-LOC101169088	3702	44130	yes	2388	746	44	524
rna-XM_023954345.1	gene-slc22a7	1647	15691	yes	1060	269	38	280
rna-XM_011479782.3	gene-hnrnpll	1668	27746	yes	1069	314	23	262
rna-XM_004065604.4	gene-atl2	1749	21024	yes	1117	350	22	260
rna-XM_011479954.3	gene-atl2	1734	21024	no	1109	346	22	257
rna-XM_023954312.1	gene-LOC101170071	2232	27741	yes	1432	397	32	371
rna-XM_023954253.1	gene-LOC111947362	4728	7559	yes	3033	845	70	780
rna-XM_004065526.3	gene-LOC101169907	1182	6383	yes	750	237	16	179
rna-XM_004065606.4	gene-LOC101170323	1755	11618	yes	1103	363	11	278
rna-XM_020705207.2	gene-LOC101170323	1755	11370	no	1103	363	11	278
rna-XM_020705230.2	gene-LOC101170323	1755	11140	no	1103	363	11	278
rna-XM_023954322.1	gene-rcor3	1596	15483	no	1037	267	10	282
rna-XM_023954320.1	gene-rcor3	1821	15480	yes	1186	308	16	311
rna-XM_023954282.1	gene-LOC101170816	2865	63543	yes	1855	511	51	448
rna-XM_023954290.1	gene-LOC101170816	2079	66229	no	1354	373	43	309
rna-XM_023954349.1	gene-LOC111947367	1599	3659	yes	1031	309	28	231
rna-XM_023954354.1	gene-LOC111947367	1464	3659	no	944	283	26	211
rna-XM_004065527.4	gene-LOC101170646	312	769	yes	200	46	6	60
rna-XM_023954407.1	gene-LOC101170898	375	457	yes	244	60	7	64
rna-XM_011480632.3	gene-LOC101171134	387	483	yes	242	58	5	82
rna-XM_020705953.2	gene-LOC101171054	411	471	yes	260	69	7	75
rna-XM_023954411.1	gene-LOC111947380	375	821	yes	244	60	7	64
rna-XM_004065532.4	gene-LOC101171800	1518	2521	yes	990	240	13	275
rna-XM_020705898.2	gene-LOC101172049	441	6110	yes	271	98	7	65
rna-XM_004065534.4	gene-rbm34	1266	5382	yes	805	268	11	182
rna-XM_011481214.3	gene-tbce	1506	9581	no	956	287	20	243
rna-XM_004065609.4	gene-tbce	1563	11582	yes	998	295	20	250
rna-XM_011481096.3	gene-LOC101171549	3906	40035	yes	2524	703	61	618
rna-XM_020704775.2	gene-LOC101171549	3888	37731	no	2513	698	61	616
rna-XM_023954299.1	gene-LOC105355082	405	6920	no	260	75	7	63
rna-XM_023954297.1	gene-LOC105355082	1437	5951	yes	926	271	27	213
rna-XM_004065611.4	gene-LOC101171801	1191	9129	yes	753	215	15	208
rna-XM_023954348.1	gene-ero1b	1464	18353	yes	938	320	23	183
rna-XM_023954347.1	gene-ero1b	1365	17013	no	869	297	25	174
rna-XM_011480746.3	gene-LOC101172305	312	388	yes	198	48	6	60
rna-XM_004065535.4	gene-LOC101172789	375	512	yes	244	60	7	64
rna-XM_011481633.3	gene-LOC101172554	657	2943	yes	418	103	10	126
rna-XM_023954455.1	gene-LOC111947388	387	1144	yes	242	59	5	81
rna-XM_004065538.4	gene-ltv1	1410	8672	yes	906	298	16	190
rna-XM_004065615.4	gene-LOC101172790	1134	17718	yes	735	214	21	164
rna-XM_020707176.1	gene-LOC110015918	774	5462	yes	494	138	9	133
rna-XM_004065617.4	gene-LOC101173280	639	4360	yes	412	128	9	90
rna-XM_004065618.4	gene-LOC101173525	1635	3236	yes	1052	343	9	231
rna-XM_023954467.1	gene-LOC101173764	1695	15512	yes	1082	389	8	216
rna-XM_004065539.2	gene-LOC101173764	1473	2580	no	938	340	9	186
rna-XM_023954470.1	gene-LOC101173999	729	4861	yes	475	149	10	95
rna-XM_011482439.3	gene-LOC101174244	1440	20863	no	931	284	25	200
