Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Rhinatrema bivittatum	two-lined caecilian		194408	aRhiBiv1.1 alternate haplotype	GCA_901001175.1	GenBank		Scaffold	259119	4615304139	2019-06-02		PRJEB32112	SAMEA104387956
Microcaecilia unicolor			1415580	aMicUni1.1	GCA_901765095.1	GenBank		Chromosome	3661507	4685923413	2019-06-22		PRJEB32737	SAMEA104387962
Microcaecilia unicolor			1415580	aMicUni1.1 alternate haplotype	GCA_901765105.1	GenBank		Scaffold	245207	3698322623	2019-07-08		PRJEB32738	SAMEA104387962
Geotrypetes seraphini	Gabon caecilian		260995	aGeoSer1.1 alternate haplotype	GCA_902459495.1	GenBank		Scaffold	564027	3271590920	2019-08-18		PRJEB33991	SAMEA104387963
Geotrypetes seraphini	Gabon caecilian		260995	aGeoSer1.1	GCA_902459505.1	GenBank		Chromosome	20656571	3779413726	2019-08-18		PRJEB33992	SAMEA104387963
Bufo bufo	common toad		8384	aBufBuf1.1 alternate haplotype	GCA_905171715.1	GenBank		Scaffold	241528	3744894388	2021-01-28		PRJEB42169	SAMEA7521636
Rana temporaria	common frog		8407	aRanTem1.1 alternate haplotype	GCA_905171725.1	GenBank		Scaffold	547939	3686210129	2021-01-28		PRJEB42170	SAMEA7521635
Bufo bufo	common toad		8384	aBufBuf1.1	GCA_905171765.1	GenBank		Chromosome	3959750	5044744194	2021-01-28		PRJEB42168	SAMEA7521636
Rana temporaria	common frog		8407	aRanTem1.1	GCA_905171775.1	GenBank		Chromosome	6264810	4111422596	2021-01-28		PRJEB42171	SAMEA7521635
Xenopus tropicalis	tropical clawed frog	sex: female, strain: Nigerian	8364	UCB_Xtro_10.0	GCF_000004195.4	RefSeq	NCBI Annotation Release 104	Chromosome	14634335	1451283599	2019-11-14	28858	PRJNA577946	SAMN13041969
Nanorana parkeri		isolate: BGI_ZX_2015, sex: female	125878	ASM93562v1	GCF_000935625.1	RefSeq	NCBI Annotation Release 100	Scaffold	32798	2053849526	2015-03-17	21416	PRJNA243398	SAMN02720813
Xenopus laevis	African clawed frog	sex: female, strain: J	8355	Xenopus_laevis_v2	GCF_001663975.1	RefSeq	NCBI Annotation Release 100	Chromosome	19713	2718416252	2016-08-09	37031	PRJNA313213	SAMN04518361
Rhinatrema bivittatum	two-lined caecilian		194408	aRhiBiv1.1	GCF_901001135.1	RefSeq	NCBI Annotation Release 100	Chromosome	3216284	5319222779	2019-06-02	28114	PRJEB32111	SAMEA104387956
Microcaecilia unicolor			1415580	aMicUni1.1	GCF_901765095.1	RefSeq	NCBI Annotation Release 100	Chromosome	3661507	4685923413	2019-06-22	26246	PRJEB32737	SAMEA104387962
Geotrypetes seraphini	Gabon caecilian		260995	aGeoSer1.1	GCF_902459505.1	RefSeq	NCBI Annotation Release 100	Chromosome	20656571	3779413726	2019-08-18	24027	PRJEB33992	SAMEA104387963
