BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Subject_ID	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR1081376	WGS	250	16453150000	SAMEA3388864	6076147420	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160966	Illumina HiSeq 2000	14544821	PAIRED	RANDOM	GENOMIC	Hemitilapia_oxyrhynchus	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388864	ERP002088	missing	ERS724943	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T01:21:16Z	public	ERS724943	Hemitilapia oxyrhyncha	NA	NA	Hemitilapia_oxyrhynchus-sc-2288170	ERC000011	0
PRJEB1254	ERR1081377	WGS	250	15077431750	SAMEA3388865	5723280465	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160967	Illumina HiSeq 2000	14544833	PAIRED	RANDOM	GENOMIC	Serranochromis_robustus	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388865	ERP002088	missing	ERS724944	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T13:24:23Z	public	ERS724944	Serranochromis robustus	NA	NA	Serranochromis_robustus-sc-2288171	ERC000011	0
PRJEB1254	ERR1081378	WGS	250	15182030250	SAMEA3388867	5677076097	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160968	Illumina HiSeq 2000	14544786	PAIRED	RANDOM	GENOMIC	Haplochromis_tweddlei	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388867	ERP002088	missing	ERS724946	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:29Z	public	ERS724946	Haplochromis tweddlei	NA	NA	Astatotilapia_tweddlei-sc-2288176	ERC000011	0
PRJEB1254	ERR1081379	WGS	250	15170346500	SAMEA3388868	5719628464	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160969	Illumina HiSeq 2000	14544810	PAIRED	RANDOM	GENOMIC	Taeniolethrinops_furcicauda	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388868	ERP002088	missing	ERS724954	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:23Z	public	ERS724954	Taeniolethrinops furcicauda	NA	NA	Taeniolethrinops_furcicauda-sc-2288178	ERC000011	0
PRJEB1254	ERR1081380	WGS	250	15817280000	SAMEA3388870	5918104757	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160970	Illumina HiSeq 2000	14544834	PAIRED	RANDOM	GENOMIC	Dimidiochromis_strigatus	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388870	ERP002088	missing	ERS724956	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T01:00:31Z	public	ERS724956	Dimidiochromis strigatus	NA	NA	Dimidiochromis_strigatus-sc-2288182	ERC000011	0
PRJEB1254	ERR1081382	WGS	250	14057681250	SAMEA3388872	5197418387	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160972	Illumina HiSeq 2000	14544787	PAIRED	RANDOM	GENOMIC	Otopharynx_lithobates	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388872	ERP002088	missing	ERS724958	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T13:23:46Z	public	ERS724958	Otopharynx lithobates	NA	NA	Otopharynx_lithobates-sc-2288186	ERC000011	0
PRJEB1254	ERR1081383	WGS	250	14244226000	SAMEA3388873	5173620323	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160973	Illumina HiSeq 2000	14544799	PAIRED	RANDOM	GENOMIC	Rhamphochromis_esox	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388873	ERP002088	missing	ERS724959	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:23Z	public	ERS724959	Rhamphochromis esox	NA	NA	Rhamphochromis_esox-sc-2288187	ERC000011	0
PRJEB1254	ERR1081384	WGS	250	14012449250	SAMEA3388874	5106157677	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160974	Illumina HiSeq 2000	14544811	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388874	ERP002088	missing	ERS724960	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T01:11:30Z	public	ERS724960	Maylandia zebra	NA	NA	Metriaclima_zebra-sc-2288188	ERC000011	1
PRJEB1254	ERR755296	WGS	250	7256672750	SAMEA2661302	2696413779	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698928	Illumina HiSeq 2000	12334698	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661302	ERP002088	missing	ERS510516	2015-02-10	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:36:52Z	public	ERS510516	Astatotilapia	NA	NA	Astatotilapia__Massoko_littoral__6-sc-2016819	ERC000011	0
PRJEB1254	ERR755299	WGS	250	6143990500	SAMEA2661332	2313289019	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698931	Illumina HiSeq 2000	12334734	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661332	ERP002088	missing	ERS510546	2015-02-10	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:37:29Z	public	ERS510546	Astatotilapia	NA	NA	Astatotilapia__Massoko_littoral__36-sc-2016849	ERC000011	0
PRJEB1254	ERR755300	WGS	250	6331343500	SAMEA2661340	2394103373	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698932	Illumina HiSeq 2000	12334746	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661340	ERP002088	missing	ERS510554	2015-02-10	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:23:29Z	public	ERS510554	Astatotilapia	NA	NA	Astatotilapia__Massoko_benthic__8-sc-2016857	ERC000011	0
PRJEB1254	ERR755301	WGS	250	6441971750	SAMEA2661348	2426895262	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698933	Illumina HiSeq 2000	12334758	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661348	ERP002088	missing	ERS510562	2015-02-10	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:31:45Z	public	ERS510562	Astatotilapia	NA	NA	Astatotilapia__Massoko_benthic__16-sc-2016865	ERC000011	0
PRJEB1254	ERR702224	WGS	250	6682442750	SAMEA2661375	2437460303	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646487	Illumina HiSeq 2000	11649640	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661375	ERP002088	missing	ERS510589	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510589	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__5-sc-2016892	ERC000011	0
PRJEB1254	ERR702226	WGS	250	5344811500	SAMEA2661377	1968949103	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646489	Illumina HiSeq 2000	11649664	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661377	ERP002088	missing	ERS510591	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:29Z	public	ERS510591	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__7-sc-2016894	ERC000011	0
PRJEB1254	ERR702227	WGS	250	4858799500	SAMEA2661378	1767605018	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646490	Illumina HiSeq 2000	11649676	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661378	ERP002088	missing	ERS510592	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510592	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__8-sc-2016895	ERC000011	0
PRJEB1254	ERR702228	WGS	250	3883152750	SAMEA2661379	1403323936	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646491	Illumina HiSeq 2000	11649688	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661379	ERP002088	missing	ERS510593	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510593	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__9-sc-2016896	ERC000011	0
PRJEB1254	ERR702229	WGS	250	3722807000	SAMEA2661380	1357111563	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646492	Illumina HiSeq 2000	11649700	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661380	ERP002088	missing	ERS510594	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:29Z	public	ERS510594	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__10-sc-2016897	ERC000011	0
PRJEB1254	ERR702230	WGS	250	5651333750	SAMEA2661392	2053874383	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646493	Illumina HiSeq 2000	11649712	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661392	ERP002088	missing	ERS510606	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510606	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__11-sc-2016921	ERC000011	0
PRJEB1254	ERR702231	WGS	250	5290002750	SAMEA2661393	1919090942	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646494	Illumina HiSeq 2000	11649724	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661393	ERP002088	missing	ERS510607	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510607	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__12-sc-2016922	ERC000011	0
PRJEB1254	ERR702232	WGS	250	9877636500	SAMEA2661394	3587388635	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646495	Illumina HiSeq 2000	11649641	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661394	ERP002088	missing	ERS510608	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510608	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__13-sc-2016923	ERC000011	0
PRJEB1254	ERR702233	WGS	250	10304966250	SAMEA2661395	3728529207	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646496	Illumina HiSeq 2000	11649653	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661395	ERP002088	missing	ERS510609	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510609	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__14-sc-2016924	ERC000011	0
PRJEB1254	ERR702234	WGS	250	10246159500	SAMEA2661396	3729804360	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646497	Illumina HiSeq 2000	11649665	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661396	ERP002088	missing	ERS510610	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510610	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__15-sc-2016925	ERC000011	0
PRJEB1254	ERR702235	WGS	250	12261652750	SAMEA2661397	4456167876	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646498	Illumina HiSeq 2000	11649677	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661397	ERP002088	missing	ERS510611	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510611	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__16-sc-2016926	ERC000011	0
PRJEB1254	ERR702236	WGS	250	7110495250	SAMEA2661398	2566079888	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646499	Illumina HiSeq 2000	11649689	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661398	ERP002088	missing	ERS510612	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510612	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__17-sc-2016927	ERC000011	0
PRJEB1254	ERR702237	WGS	250	6734282000	SAMEA2661399	2462468178	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646500	Illumina HiSeq 2000	11649701	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661399	ERP002088	missing	ERS510613	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510613	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__18-sc-2016928	ERC000011	0
PRJEB1254	ERR702238	WGS	250	6804426750	SAMEA2661400	2467119189	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646501	Illumina HiSeq 2000	11649713	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661400	ERP002088	missing	ERS510614	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510614	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__19-sc-2016929	ERC000011	0
PRJEB1254	ERR702239	WGS	250	6104680000	SAMEA2661402	2217468536	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646502	Illumina HiSeq 2000	11649642	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661402	ERP002088	missing	ERS510616	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510616	Astatotilapia	NA	NA	Astatotilapia__Massoko_olive__21-sc-2016931	ERC000011	0
PRJEB1254	ERR702240	WGS	250	6347077000	SAMEA2661403	2288121635	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646503	Illumina HiSeq 2000	11649654	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661403	ERP002088	missing	ERS510617	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510617	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__1-sc-2016932	ERC000011	0
PRJEB1254	ERR702241	WGS	250	6187696000	SAMEA2661404	2259253389	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646504	Illumina HiSeq 2000	11649666	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661404	ERP002088	missing	ERS510618	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510618	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__2-sc-2016933	ERC000011	0
PRJEB1254	ERR702242	WGS	250	6744560750	SAMEA2661405	2425172376	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646505	Illumina HiSeq 2000	11649678	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661405	ERP002088	missing	ERS510619	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510619	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__3-sc-2016934	ERC000011	0
PRJEB1254	ERR702243	WGS	250	6728973000	SAMEA2661406	2442282752	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646506	Illumina HiSeq 2000	11649690	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661406	ERP002088	missing	ERS510620	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510620	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__4-sc-2016935	ERC000011	0
PRJEB1254	ERR702244	WGS	250	6657078000	SAMEA2661407	2402901656	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646507	Illumina HiSeq 2000	11649702	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661407	ERP002088	missing	ERS510621	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510621	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__5-sc-2016936	ERC000011	0
PRJEB1254	ERR702245	WGS	250	7475128750	SAMEA2661408	2720881455	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646508	Illumina HiSeq 2000	11649714	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661408	ERP002088	missing	ERS510622	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510622	Astatotilapia	NA	NA	Astatotilapia__Massoko_small_yellow__6-sc-2016937	ERC000011	0
